Seconds,Doppler Shift
0.0,2.6684456866377104e-09
1553852.1599963307,-7.47164748959861e-08
4491400.320003927,-1.8712473237592064e-07
31794629.76000309,-1.5510339024249475e-07
35155995.839989185,-9.673115308750369e-09
37835389.43999112,-3.0353568547525356e-08
41969577.60000676,1.0473649658671036e-07
43697283.83998275,1.4709807616419823e-07
44647528.320005536,1.1074049965920096e-07
44905976.63999498,1.0206805067802804e-07
50820721.92000747,3.1621085705424434e-07
52803290.87998867,2.881921696840095e-07
55483626.24000013,3.3088731288266615e-07
61514553.599993885,4.796532171447154e-07
65401750.07999092,4.3228828561225896e-07
65660975.999987125,4.069380414861712e-07
68755582.07998127,3.1921285947866807e-07
69190208.63998532,3.172115246030671e-07
70569809.27999318,2.955303972651535e-07
71003960.6399998,2.7284860304455094e-07
72815880.95998764,2.9119417188638863e-07
73071417.59997457,3.135424107014728e-07
73514926.07997805,2.251501254324495e-07
75490660.79998165,2.7318215867211393e-07
75666026.88000798,2.5783859225469996e-07
81149325.1200065,8.839226528500888e-08
82874966.39999002,-3.002001291996237e-08
85119258.23999047,-1.7178117273086713e-07
86928776.63999498,-1.777851743600678e-07
89091437.75998056,-1.407604971470633e-07
89696799.35999215,-1.4643094325972328e-07
94175135.99997908,-3.6891254029391973e-07
99010615.67999125,-3.142094235908388e-07
100811908.8000074,-4.1294187602680665e-07
104004760.31999588,-3.9626409764625947e-07
106339296.95998281,-4.482987654430559e-07
106940528.64000946,-4.422947654791898e-07
108150310.07998288,-4.072714313574366e-07
114583783.6800009,-2.7618408460217125e-07
116138093.75998378,-3.0153431074264603e-07
117862447.67998159,-2.32488298501643e-07
121053044.15997863,-1.511007224896943e-07
125204771.51997238,3.3355562756298696e-10
127273161.59997135,9.973316039690872e-08
132097106.87998384,1.7044697919743612e-07
134771281.91999942,2.3315546426871947e-07
138219013.440004,2.918612833635592e-07
147413632.31999427,3.1154107582587187e-07
149227747.19999582,2.7218149134533576e-07
152503689.59997296,3.365577616598614e-07
153111504.96000051,3.398933199338927e-07
