time_jd,radial_velocity_ms,uncertainty_ms
2450002.6736499998,-40.870000,3.300000
2450002.8087300002,-46.960000,3.600000
2450002.9597900002,-47.390000,4.500000
2450003.6269499999,-19.850000,2.900000
2450003.7326500001,-13.470000,2.600000
2450003.9007700002,-5.782000,3.000000
2450004.6075300002,49.410000,2.200000
2450004.7842899999,58.660000,2.500000
2450004.9069900000,63.200000,3.200000
2450005.6050300002,45.600000,2.700000
2450005.9254399999,17.880000,3.300000
2450011.6442999998,-45.500000,4.700000
2450011.8377999999,-38.980000,4.900000
2450012.6354999999,27.270000,5.200000
2450012.8664000002,32.450000,6.500000
2450013.6242000000,63.380000,4.600000
2450013.8295000000,54.780000,6.200000
2450014.6428000000,-1.340000,5.400000
2450014.7228999999,-5.477000,5.500000
2450014.8160999999,-10.730000,4.400000
2450014.9043000001,-26.290000,7.300000
2450015.6261000000,-50.680000,4.600000
2450015.7467000000,-45.780000,4.600000
2450015.8654000000,-57.540000,5.600000
2450016.6148999999,10.560000,5.000000
2450016.7592000002,12.910000,4.600000
2450016.8473999999,16.400000,6.600000
2450017.7341000000,63.640000,4.400000
2450017.8442000002,60.480000,6.000000
2450018.6161000002,26.290000,5.200000
2450018.7648000000,5.988000,5.400000
2450018.8539999998,-7.798000,6.500000
2450019.6217999998,-43.620000,4.700000
2450019.7324999999,-59.450000,4.800000
2450019.8473000000,-58.600000,4.700000
2450020.6137000001,-20.220000,4.000000
2450020.7401000001,-8.064000,4.000000
2450020.8542999998,5.596000,5.200000
2450021.6151000001,56.410000,4.500000
2450021.6620000000,59.260000,4.300000
2450021.7063000002,66.780000,6.400000
2450023.5986000001,-35.130000,5.100000
2450023.6447999999,-37.300000,4.400000
2450023.6904000002,-31.350000,4.900000
2450023.7258000001,-42.570000,7.500000
2450024.6390999998,-33.470000,2.600000
2450024.7261000001,-27.460000,3.000000
2450024.8174000001,-22.700000,3.700000
2450025.6225999999,45.340000,4.600000
2450025.7144999998,47.610000,4.500000
2450025.7615000000,56.150000,4.700000
2450026.6176000000,65.320000,6.100000
2450026.6507999999,69.630000,6.100000
2450026.7020000000,62.540000,6.700000
2450026.7365999999,50.860000,7.700000
2450027.6474000001,-22.660000,4.300000
2450027.6893000002,-22.550000,6.300000
2450027.7398999999,-31.820000,5.200000
2450027.7721000002,-31.720000,6.500000
2450028.6061000000,-44.120000,4.700000
2450028.6556000002,-33.590000,4.800000
2450028.7019000002,-37.100000,4.800000
2450028.7450000001,-39.130000,4.600000
2450028.7799000000,-35.320000,6.600000
2450029.6093000001,25.090000,4.300000
2450029.7001000000,35.690000,4.500000
2450029.7467999998,41.170000,4.300000
2450030.6003999999,61.330000,5.600000
2450030.6453999998,58.980000,7.500000
2450030.6930000000,63.070000,6.100000
2450030.7401999999,56.860000,5.000000
2450030.8333999999,50.980000,5.300000
2450031.6619000002,-2.545000,5.000000
2450031.7052000002,0.763300,5.700000
2450031.7492000000,-4.599000,5.900000
2450032.6044999999,-38.530000,4.300000
2450032.6479000002,-48.680000,4.300000
2450032.6943000001,-38.840000,4.700000
2450033.6072999998,2.696000,4.400000
2450033.6527000000,11.460000,4.600000
2450033.6982000000,14.020000,4.600000
2450033.7330999998,17.550000,7.500000
2450035.5970000001,19.740000,2.400000
2450040.7492999998,-41.450000,9.300000
2450041.6044999999,-21.470000,5.100000
2450041.6932000001,-20.370000,4.700000
2450041.7387999999,-21.670000,5.200000
2450043.6442000000,49.310000,4.600000
2450044.6497999998,-35.660000,4.400000
2450045.6065000002,-38.280000,4.800000
2450046.6779000000,34.980000,6.100000
2450046.7230000002,37.540000,4.900000
2450058.5843000002,-24.000000,4.400000
2450068.6825999999,73.890000,5.900000
2450072.6461999998,58.570000,4.500000
2450073.6713000000,13.450000,7.000000
2450086.7296000002,-21.900000,6.600000
2450087.5888000000,-47.910000,6.100000
2450088.6110999999,-1.292000,4.600000
2450089.6847000001,60.150000,4.600000
2450090.6612000000,10.590000,5.300000
2450091.6137000001,-49.720000,4.900000
2450182.0260000001,22.410000,6.700000
2450215.9810000001,41.060000,5.800000
2450232.9690000000,42.390000,7.200000
2450235.9539999999,-40.990000,6.000000
2450262.9909999999,61.660000,4.200000
2450288.9330000002,47.510000,4.500000
2450298.9230000000,-40.990000,4.600000
2450304.8890000000,45.030000,4.400000
2450326.8960000002,53.510000,4.400000
