time_jd,radial_velocity_ms,uncertainty_ms
2447195.0276219998,-178.100000,7.400000
2447224.8483239999,116.300000,5.800000
2447373.7218030002,84.500000,5.300000
2447578.8968000002,204.100000,9.300000
2447710.7527999999,400.000000,11.000000
2447965.0019000000,-25.000000,12.000000
2448018.8492999999,-159.000000,13.000000
2448376.8029999998,-95.000000,12.000000
2448437.7497999999,-83.000000,12.000000
2448670.9888720000,-103.700000,8.800000
2448746.6930640000,246.500000,9.500000
2448781.7822210002,-31.600000,7.400000
2448847.6743000001,-65.000000,11.000000
2448993.0836000000,415.800000,9.900000
2449068.9242329998,-136.300000,7.100000
2449096.8695789999,242.000000,7.500000
2449124.7806529999,68.600000,7.400000
2449172.7042000000,-168.000000,11.000000
2449349.0910999998,277.000000,11.000000
2449411.9709000001,-156.000000,11.000000
2449469.8128999998,188.000000,13.000000
2449767.0032000002,-153.900000,5.100000
2449768.9794000001,-141.000000,5.300000
2449793.9574810001,154.500000,2.100000
2450087.9312270000,-187.400000,4.400000
2450089.0199879999,-190.300000,4.500000
2450089.9740740000,-187.900000,3.900000
2450091.0859490000,-188.900000,4.200000
2450121.0355360000,-137.500000,4.200000
2450122.0278579998,-135.800000,4.700000
2450124.9962240001,-111.200000,3.200000
2450125.8615970002,-105.500000,5.400000
2450127.0370000000,-105.000000,4.700000
2450129.0437650001,-83.300000,3.400000
2450144.9517939999,180.500000,3.700000
2450145.9504209999,201.600000,5.400000
2450148.9682040000,291.400000,3.900000
2450150.9321740000,352.000000,3.300000
2450172.9143969999,108.100000,4.300000
2450173.8881480000,80.100000,5.300000
2450179.7804979999,-3.700000,4.300000
2450180.7656740001,-19.600000,2.700000
2450186.8322770000,-77.100000,4.000000
2450199.8211730001,-152.300000,3.500000
2450200.8404669999,-164.500000,3.800000
2450201.8265450001,-164.800000,3.800000
2450202.8310730001,-167.600000,3.700000
2450214.7799069998,-199.400000,3.400000
2450234.8025119998,-141.000000,4.000000
2450263.6690860000,237.300000,3.400000
2450502.9782179999,387.100000,4.600000
2450537.8832180002,-105.700000,4.100000
2450563.7523030001,-172.800000,5.200000
2450614.7561160000,261.400000,3.500000
2450655.6884840000,-104.600000,5.000000
2450794.0606249999,-189.400000,3.900000
2450978.7649710001,381.900000,4.200000
2451005.7081249999,-102.400000,6.000000
2451207.0123259998,444.300000,5.200000
2451303.8208679999,22.000000,5.700000
2451541.0436229999,92.300000,5.800000
2451700.7406219998,-44.600000,5.300000
2451946.0285270000,-146.300000,4.800000
2451969.9475690001,-183.700000,6.400000
2452041.8292259998,70.300000,3.800000
2452055.7896349998,-98.200000,3.500000
2452072.7153070001,-179.700000,4.100000
2452122.6965970001,48.200000,4.900000
2452333.9747919999,-151.100000,5.600000
2452334.9539470002,-149.500000,6.400000
2452338.9589470001,-132.800000,5.100000
2452345.9426580002,-80.300000,4.200000
2452348.9650019999,-54.300000,3.900000
2452449.7292350000,-156.900000,4.000000
