time_jd,radial_velocity_ms,uncertainty_ms
2451341.1198260002,21.200000,3.700000
2451368.9413080001,-30.800000,4.000000
2451372.1344440002,-72.500000,4.300000
2451373.0559259998,48.100000,3.900000
2451374.0552200000,46.500000,3.500000
2451410.0122570000,-54.400000,3.300000
2451410.9629279999,-66.300000,3.800000
2451411.9331939998,62.700000,4.100000
2451438.8079980002,-81.200000,3.400000
2451551.6955900001,-86.400000,3.800000
2451551.7007519999,-80.200000,2.900000
2451552.7027659998,39.200000,3.900000
2451679.1065739999,-32.600000,3.500000
2451703.1211569998,-79.800000,3.500000
2451704.0975930002,8.900000,3.100000
2451705.1053940002,76.100000,4.100000
2451706.1023960002,-43.200000,3.500000
2451707.1080669998,-53.900000,3.600000
2451754.9752779999,27.100000,3.000000
2451755.9717359999,-81.900000,3.500000
2451792.7910879999,77.100000,3.800000
2451882.7068750001,-79.000000,3.800000
2451883.7196180001,2.800000,4.100000
2451899.7305210000,-18.400000,3.400000
2451900.7212850000,-77.700000,3.300000
2452063.1120719998,-56.800000,3.800000
2452102.0043870001,-50.800000,4.000000
2452446.1276969998,-40.900000,3.600000
2452514.9645250002,32.700000,3.700000
2452535.8447799999,-4.600000,4.000000
2452575.7302080002,90.800000,4.000000
2452806.9726040000,-33.000000,3.600000
2452836.0038770000,70.200000,3.300000
2452848.9677309999,-68.800000,3.900000
2452849.9862380000,66.600000,3.200000
2452850.9484950001,52.700000,3.200000
2452853.9541900000,80.500000,3.400000
2452854.9976969999,-22.300000,3.800000
2452856.0059610000,-74.300000,4.000000
2452897.8160649999,-82.100000,3.600000
2452898.8056709999,-17.600000,3.500000
2452924.7648959998,74.200000,3.500000
2452987.7032180000,77.100000,3.700000
2453154.0844680001,45.200000,4.100000
2453180.0914810002,-88.000000,3.700000
2453182.0350810001,68.600000,3.500000
2453195.9011920001,81.100000,4.900000
2453196.9265510002,-35.300000,3.400000
2453239.9076970001,-79.400000,3.900000
2453240.8894910002,19.400000,4.300000
2453301.6974070002,88.300000,3.400000
2453302.8445140002,-51.100000,4.200000
2453302.8466200000,-50.900000,3.900000
2453338.7529630000,-80.500000,3.600000
2453339.7527660001,40.600000,3.200000
2453367.6959839999,1.600000,3.200000
2453367.6987379999,8.800000,3.200000
2453368.7019910002,83.000000,3.100000
2453368.7062619999,81.800000,3.000000
2453369.6899069999,-37.200000,3.200000
2453369.6968979998,-30.300000,3.100000
2453370.6973259998,-64.100000,3.500000
2453370.7007869999,-61.600000,3.000000
2453604.9409030001,80.700000,3.800000
