star_x_au,star_z_au,planet_x_au,planet_z_au
2.044777338675462752e-05,-8.102161240609681732e-06,-4.911051485408290257e-02,1.945939552591498950e-02
2.057404667321909193e-05,-7.787346437906335166e-06,-4.941379218376046323e-02,1.870328791693381607e-02
2.069538333976194246e-05,-7.470663100199609114e-06,-4.970521296840479941e-02,1.794269254714353154e-02
2.081175697273435356e-05,-7.152188188697246851e-06,-4.998471376893778850e-02,1.717779425840756241e-02
2.092314234307198045e-05,-6.831998998782423759e-06,-5.025223399136147240e-02,1.640877869519643401e-02
2.102951540925805990e-05,-6.510173142307667067e-06,-5.050771589387464261e-02,1.563583226206208612e-02
2.113085332004038024e-05,-6.186788529907401830e-06,-5.075110459339829405e-02,1.485914208115698618e-02
2.122713441690417371e-05,-5.861923353331901447e-06,-5.098234807151506148e-02,1.407889594980461269e-02
2.131833823630321481e-05,-5.535656067805287120e-06,-5.120139717982761379e-02,1.329528229812773632e-02
2.140444551165103548e-05,-5.208065374410178374e-06,-5.140820564474110621e-02,1.250849014674067401e-02
2.148543817507449341e-05,-4.879230202501485739e-06,-5.160273007167484605e-02,1.171870906451156352e-02
2.156129935893178381e-05,-4.549229692151802837e-06,-5.178492994870814020e-02,1.092612912640049741e-02
2.163201339709694795e-05,-4.218143176630717916e-06,-5.195476764966545924e-02,1.013094087137917688e-02
2.169756582601310775e-05,-3.886050164920363983e-06,-5.211220843664587932e-02,9.333335260437549893e-03
2.175794338551631044e-05,-3.553030324269397562e-06,-5.225722046200196452e-02,8.533503634682757313e-03
2.181313401943229369e-05,-3.219163462787541423e-06,-5.238977476977284276e-02,7.731637673535528103e-03
2.186312687594804853e-05,-2.884529512082774163e-06,-5.250984529657679034e-02,6.927929353028985590e-03
2.190791230776036177e-05,-2.549208509943164343e-06,-5.261740887196784261e-02,6.122570904214673544e-03
2.194748187200327614e-05,-2.213280583065282551e-06,-5.271244521826166929e-02,5.315754771680455439e-03
2.198182832995657879e-05,-1.876825929831066701e-06,-5.279493694983539848e-02,4.507673572184786766e-03
2.201094564653723935e-05,-1.539924803134946477e-06,-5.286486957190621866e-02,3.698520053411706327e-03
2.203482898957583369e-05,-1.202657493262983834e-06,-5.292223147879342865e-02,2.888487052850736720e-03
2.205347472887985089e-05,-8.651043108257105355e-07,-5.296701395166886206e-02,2.077767456805774092e-03
2.206688043508587884e-05,-5.273455697462995947e-07,-5.299921115579999537e-02,1.266554159536861617e-03
2.207504487830251182e-05,-1.894615703056502323e-07,-5.301882013729065229e-02,4.550400225386619433e-04
2.207796802654590432e-05,1.484674177540945393e-07,-5.302584081932348870e-02,-3.565821660407321979e-04
2.207565104396978052e-05,4.863611720661213889e-07,-5.302027599790899021e-02,-1.168119731837100918e-03
2.206809628889178315e-05,8.241395344141908761e-07,-5.300213133714524322e-02,-1.979380154560099296e-03
2.205530731161789649e-05,1.161722427445176766e-06,-5.297141536399266326e-02,-2.790171108132663124e-03
2.203728885206668491e-05,1.499029871317571504e-06,-5.292813946256808705e-02,-3.600300500676615906e-03
2.201404683719517674e-05,1.835982000284673806e-06,-5.287231786796232208e-02,-4.409576514341402922e-03
2.198558837822797894e-05,2.172499079211216664e-06,-5.280396765958519228e-02,-5.217807644972959243e-03
2.195192176769132682e-05,2.508501520022227207e-06,-5.272310875404207647e-02,-6.024802741619823820e-03
2.191305647625372573e-05,2.843909898082966143e-06,-5.262976389754582540e-02,-6.830371045873713694e-03
2.186900314937471261e-05,3.178644968508803806e-06,-5.252395865786799178e-02,-7.634322231041835646e-03
2.181977360376333671e-05,3.512627682403949891e-06,-5.240572141583296067e-02,-8.436466441148310694e-03
2.176538082364785697e-05,3.845779203027971289e-06,-5.227508335635865089e-02,-9.236614329762167855e-03
2.170583895685817402e-05,4.178020921889069113e-06,-5.213207845904748589e-02,-1.003457709864942829e-02
2.164116331072235531e-05,4.509274474763099302e-06,-5.197674348833090929e-02,-1.083016653624685986e-02
2.157137034777876458e-05,4.839461757637389831e-06,-5.180911798317091449e-02,-1.162319505595507500e-02
2.149647768130507646e-05,5.168504942578360104e-06,-5.162924424632185649e-02,-1.241347573424867075e-02
2.141650407066556164e-05,5.496326493522052313e-06,-5.143716733315583517e-02,-1.320082234860118012e-02
2.133146941647790683e-05,5.822849181986644271e-06,-5.123293504005441146e-02,-1.398504941522266641e-02
2.124139475560077523e-05,6.147996102706056903e-06,-5.101659789237022319e-02,-1.476597222660777295e-02
2.114630225594343261e-05,6.471690689183782236e-06,-5.078820913196078340e-02,-1.554340688889221944e-02
2.104621521109850273e-05,6.793856729166070473e-06,-5.054782470429776409e-02,-1.631717035901557311e-02
2.094115803479902434e-05,7.114418380033638420e-06,-5.029550324515417309e-02,-1.708708048168833260e-02
2.083115625520090769e-05,7.433300184111051395e-06,-5.003130606687225534e-02,-1.785295602616129851e-02
2.071623650899185424e-05,7.750427083892958688e-06,-4.975529714421454003e-02,-1.861461672279524429e-02
2.059642653532770188e-05,8.065724437186362646e-06,-4.946754309980048309e-02,-1.937188329942890822e-02
2.047175516959723926e-05,8.379118032168092139e-06,-4.916811318913105744e-02,-2.012457751754334959e-02
2.034225233701642422e-05,8.690534102356703669e-06,-4.885707928520360843e-02,-2.087252220822075066e-02
2.020794904605281624e-05,8.999899341497958865e-06,-4.853451586271902846e-02,-2.161554130789568318e-02
2.006887738168119855e-05,9.307140918363088078e-06,-4.820049998188339485e-02,-2.235345989389687926e-02
1.992507049847117939e-05,9.612186491459037089e-06,-4.785511127180604868e-02,-2.308610421977760896e-02
1.977656261350751112e-05,9.914964223649843112e-06,-4.749843191349600868e-02,-2.381330175043266592e-02
1.962338899914394015e-05,1.021540279668837779e-05,-4.713054662245848292e-02,-2.453488119699998721e-02
1.946558597559130616e-05,1.051343142565755418e-05,-4.675154263089327522e-02,-2.525067255154491222e-02
1.930319090334050707e-05,1.080897987332023046e-05,-4.636150966949667551e-02,-2.596050712152508586e-02
1.913624217542108893e-05,1.110197846437689873e-05,-4.596053994886841604e-02,-2.666421756403393462e-02
1.896477920949594495e-05,1.139235809963031885e-05,-4.554872814052517149e-02,-2.736163791982064789e-02
1.878884243979282189e-05,1.168005027005626544e-05,-4.512617135752200470e-02,-2.805260364708456883e-02
1.860847330887311135e-05,1.196498707077939536e-05,-4.469296913468300686e-02,-2.873695165504187854e-02
1.842371425923851225e-05,1.224710121495341052e-05,-4.424922340844251317e-02,-2.941452033726229751e-02
1.823460872477593699e-05,1.252632604754457100e-05,-4.379503849629801798e-02,-3.008514960477361860e-02
1.804120112204129857e-05,1.280259555901755700e-05,-4.333052107587585106e-02,-3.074868091893191713e-02
1.784353684138242907e-05,1.307584439892277689e-05,-4.285578016361068360e-02,-3.140495732405475943e-02
1.764166223790167179e-05,1.334600788938406075e-05,-4.237092709303988403e-02,-3.205382347981546032e-02
1.743562462225847225e-05,1.361302203848577556e-05,-4.187607549271359086e-02,-3.269512569339556862e-02
1.722547225131233059e-05,1.387682355355826761e-05,-4.137134126372138399e-02,-3.332871195139320425e-02
1.701125431860643045e-05,1.413734985436057340e-05,-4.085684255683632443e-02,-3.395443195148471066e-02
1.679302094469228992e-05,1.439453908615931134e-05,-4.033269974927715384e-02,-3.457213713383692349e-02
1.657082316729571581e-05,1.464833013270255839e-05,-3.979903542108936126e-02,-3.518168071226727978e-02
1.634471293132433567e-05,1.489866262908763068e-05,-3.925597433114566548e-02,-3.578291770514895748e-02
1.611474307871691412e-05,1.514547697452148409e-05,-3.870364339276662763e-02,-3.637570496605832537e-02
1.588096733813478239e-05,1.538871434497254722e-05,-3.814217164896200468e-02,-3.695990121416146273e-02
1.564344031449551293e-05,1.562831670571271795e-05,-3.757169024729316992e-02,-3.753536706433689696e-02
1.540221747834907983e-05,1.586422682374814786e-05,-3.699233241435733593e-02,-3.810196505703141584e-02
1.515735515509675741e-05,1.609638828013757467e-05,-3.640423342989393407e-02,-3.865955968784556135e-02
1.490891051405283656e-05,1.632474548219672359e-05,-3.580753060051359432e-02,-3.920801743684561302e-02
1.465694155734940288e-05,1.654924367558738518e-05,-3.520236323305014903e-02,-3.974720679759863318e-02
1.440150710868435608e-05,1.676982895628973137e-05,-3.458887260753612525e-02,-4.027699830592697955e-02
1.414266680191279943e-05,1.698644828245633490e-05,-3.396720194980211438e-02,-4.079726456837866333e-02
1.388048106948196192e-05,1.719904948614627257e-05,-3.333749640370025497e-02,-4.130788029040997900e-02
1.361501113070984624e-05,1.740758128493790293e-05,-3.269990300295251562e-02,-4.180872230427631897e-02
1.334631897990772788e-05,1.761199329341847517e-05,-3.205457064262370870e-02,-4.229966959662750242e-02
1.307446737434666470e-05,1.781223603454897683e-05,-3.140165005022019229e-02,-4.278060333580333691e-02
1.279951982206822017e-05,1.800826095090253990e-05,-3.074129375641408701e-02,-4.325140689882540218e-02
1.252154056953949856e-05,1.820002041577451789e-05,-3.007365606539381953e-02,-4.371196589808087896e-02
