time_days,model_velocity_ms
0.000000000000000000e+00,-4.405069806594075033e+01
1.621922711357697833e-01,-4.743312339353032314e+01
3.243845422715395665e-01,-4.774778525309238830e+01
4.865768134073093498e-01,-4.501171324395482998e+01
6.487690845430791331e-01,-3.938971563034775158e+01
8.109613556788488609e-01,-3.118376819486247697e+01
9.731536268146186996e-01,-2.082043406231708005e+01
1.135345897950388538e+00,-8.836079105554450308e+00
1.297538169086158266e+00,4.141080561872587218e+00
1.459730440221927994e+00,1.741350586050683447e+01
1.621922711357697722e+00,3.024288185406883400e+01
1.784114982493467672e+00,4.188564566688924629e+01
1.946307253629237399e+00,5.163537560647552027e+01
2.108499524765007127e+00,5.887028514049630701e+01
2.270691795900777077e+00,6.310210655595474805e+01
2.432884067036546583e+00,6.402083348217402659e+01
2.595076338172316532e+00,6.152874996042163502e+01
2.757268609308086482e+00,5.575750336855658418e+01
2.919460880443855988e+00,4.706395607375723955e+01
3.081653151579625938e+00,3.600390070606292170e+01
3.243845422715395443e+00,2.328660803941531299e+01
3.406037693851165393e+00,9.716473978127794453e+00
3.568229964986935343e+00,-3.870202036413218138e+00
3.730422236122704849e+00,-1.666542267430637736e+01
3.892614507258474799e+00,-2.794057261006438253e+01
4.054806778394244304e+00,-3.708491531283708298e+01
4.216999049530014254e+00,-4.363073083849296552e+01
4.379191320665784204e+00,-4.726639242435128097e+01
4.541383591801554154e+00,-4.783985705062139004e+01
4.703575862937324104e+00,-4.535534954855955903e+01
4.865768134073093165e+00,-3.996566002821634811e+01
5.027960405208863115e+00,-3.196171480554795963e+01
5.190152676344633065e+00,-2.176015879477621340e+01
5.352344947480403015e+00,-9.888784314020796273e+00
5.514537218616172964e+00,3.031105427471801228e+00
5.676729489751942026e+00,1.630678168331115785e+01
5.838921760887711976e+00,2.920208479556519876e+01
6.001114032023481926e+00,4.097235209444609438e+01
6.163306303159251875e+00,5.090627313194327996e+01
6.325498574295021825e+00,5.837307035974214386e+01
6.487690845430790887e+00,6.287145681479532300e+01
6.649883116566560837e+00,6.407497181468809799e+01
6.812075387702330787e+00,6.186716401177920943e+01
6.974267658838100736e+00,5.636028874708573255e+01
7.136459929973870686e+00,4.789302801567821177e+01
7.298652201109640636e+00,3.700600174316117830e+01
7.460844472245409698e+00,2.439772035517276194e+01
7.623036743381179647e+00,1.086701722641195822e+01
7.785229014516949597e+00,-2.750081953452514938e+00
7.947421285652719547e+00,-1.564108549482599742e+01
8.109613556788488609e+00,-2.706905318293408769e+01
8.271805827924259447e+00,-3.641221291474813881e+01
8.433998099060028508e+00,-4.319019238760913026e+01
8.596190370195799346e+00,-4.707802247892098535e+01
8.758382641331568408e+00,-4.791032421609179437e+01
8.920574912467337469e+00,-4.567846248339080262e+01
9.082767183603108307e+00,-4.052313542317247652e+01
9.244959454738877369e+00,-3.272413261463552203e+01
9.407151725874648207e+00,-2.268807878087607932e+01
