phase,radial_velocity_ms,uncertainty_ms
8.200108470230560442e-03,5.097999999999999687e+01,5.299999999999999822e+00
1.169949536554959479e-02,6.531999999999999318e+01,6.099999999999999645e+00
1.593521192664582031e-02,4.750999999999999801e+01,4.500000000000000000e+00
1.954707359583274240e-02,6.962999999999999545e+01,6.099999999999999645e+00
3.164936295858922222e-02,6.253999999999999915e+01,6.700000000000000178e+00
3.632526971866667509e-02,4.931000000000000227e+01,4.599999999999999645e+00
3.982786315116726428e-02,5.085999999999999943e+01,7.700000000000000178e+00
4.489867743179720705e-02,4.560000000000000142e+01,2.700000000000000178e+00
1.203622270539481676e-01,2.628999999999999915e+01,5.200000000000000178e+00
1.206348985876921631e-01,1.787999999999999901e+01,3.299999999999999822e+00
1.339161328070694879e-01,1.344999999999999929e+01,7.000000000000000000e+00
1.341857626497766631e-01,1.973999999999999844e+01,2.399999999999999911e+00
1.498670239691328732e-01,1.058999999999999986e+01,5.299999999999999822e+00
1.555108681090802136e-01,5.988000000000000433e+00,5.400000000000000355e+00
1.765953252714043131e-01,-7.798000000000000043e+00,6.500000000000000000e+00
1.811820272485862304e-01,-1.340000000000000080e+00,5.400000000000000355e+00
2.001154916009637574e-01,-5.477000000000000313e+00,5.500000000000000000e+00
2.040350053515425088e-01,-2.544999999999999929e+00,5.000000000000000000e+00
2.142699492691555463e-01,7.632999999999999785e-01,5.700000000000000178e+00
2.205435716316692663e-01,-2.189999999999999858e+01,6.599999999999999645e+00
2.221454401627482866e-01,-1.073000000000000043e+01,4.400000000000000355e+00
2.246703541128809434e-01,-4.599000000000000199e+00,5.900000000000000355e+00
2.429935245577583558e-01,-2.628999999999999915e+01,7.299999999999999822e+00
2.551162446270431872e-01,-2.266000000000000014e+01,4.299999999999999822e+00
2.650202665823631065e-01,-2.255000000000000071e+01,6.299999999999999822e+00
2.740217962060427226e-01,-3.565999999999999659e+01,4.400000000000000355e+00
2.769807321526460697e-01,-3.182000000000000028e+01,5.200000000000000178e+00
2.845919376156178515e-01,-3.171999999999999886e+01,6.500000000000000000e+00
2.980898955511666060e-01,-3.513000000000000256e+01,5.099999999999999645e+00
3.090103206370775624e-01,-3.729999999999999716e+01,4.400000000000000355e+00
3.197889221506571289e-01,-3.135000000000000142e+01,4.900000000000000355e+00
3.281565206231276122e-01,-4.257000000000000028e+01,7.500000000000000000e+00
3.520000656026534003e-01,-4.086999999999999744e+01,3.299999999999999822e+00
3.520495391003866104e-01,-4.145000000000000284e+01,9.300000000000000711e+00
3.580823907850341214e-01,-4.361999999999999744e+01,4.700000000000000178e+00
3.750121528028387274e-01,-4.971999999999999886e+01,4.900000000000000355e+00
3.772998698650269489e-01,-4.099000000000000199e+01,4.599999999999999645e+00
3.839293087370565516e-01,-4.696000000000000085e+01,3.600000000000000089e+00
3.842488640405985478e-01,-5.945000000000000284e+01,4.799999999999999822e+00
4.113844659393341985e-01,-5.860000000000000142e+01,4.700000000000000178e+00
4.136074394728979087e-01,-5.067999999999999972e+01,4.599999999999999645e+00
4.196357897563958161e-01,-4.739000000000000057e+01,4.500000000000000000e+00
4.236351145498105097e-01,-4.790999999999999659e+01,6.099999999999999645e+00
4.268400429853400624e-01,-3.853000000000000114e+01,4.299999999999999822e+00
4.370986242567322932e-01,-4.867999999999999972e+01,4.299999999999999822e+00
4.421140038183004606e-01,-4.578000000000000114e+01,4.599999999999999645e+00
4.480663239401341258e-01,-3.884000000000000341e+01,4.700000000000000178e+00
4.701714597627173475e-01,-5.753999999999999915e+01,5.599999999999999645e+00
4.724180705399918523e-01,-4.550000000000000000e+01,4.700000000000000178e+00
4.817268849923248553e-01,-4.411999999999999744e+01,4.700000000000000178e+00
4.931385936465417785e-01,-4.099000000000000199e+01,6.000000000000000000e+00
4.934273405515856581e-01,-3.359000000000000341e+01,4.799999999999999822e+00
5.001596910366998827e-01,-3.828000000000000114e+01,4.799999999999999822e+00
5.043714029912784724e-01,-3.710000000000000142e+01,4.799999999999999822e+00
5.145590723113997456e-01,-3.913000000000000256e+01,4.599999999999999645e+00
5.181562148288110237e-01,-3.897999999999999687e+01,4.900000000000000355e+00
5.228084843451785702e-01,-3.532000000000000028e+01,6.599999999999999645e+00
5.440358340723214781e-01,-3.346999999999999886e+01,2.600000000000000089e+00
5.541955907291349348e-01,-2.146999999999999886e+01,5.099999999999999645e+00
5.646002711025284171e-01,-2.746000000000000085e+01,3.000000000000000000e+00
5.677591163139386055e-01,-2.400000000000000000e+01,4.400000000000000355e+00
5.751618615628366626e-01,-2.037000000000000099e+01,4.700000000000000178e+00
5.773342927162503635e-01,-1.985000000000000142e+01,2.899999999999999911e+00
5.859404629663469422e-01,-2.167000000000000171e+01,5.200000000000000178e+00
5.861811112633272813e-01,-2.269999999999999929e+01,3.700000000000000178e+00
5.925406094906708887e-01,-2.021999999999999886e+01,4.000000000000000000e+00
6.023189018050403298e-01,-1.347000000000000064e+01,2.600000000000000089e+00
6.224181362827394537e-01,-8.064000000000000057e+00,4.000000000000000000e+00
6.420579034477076341e-01,-5.782000000000000028e+00,3.000000000000000000e+00
6.473329023026757056e-01,1.056000000000000050e+01,5.000000000000000000e+00
6.494119143890042523e-01,5.596000000000000085e+00,5.200000000000000178e+00
6.638747255481263210e-01,2.696000000000000174e+00,4.400000000000000355e+00
6.652790674510740132e-01,-1.292000000000000037e+00,4.599999999999999645e+00
6.746060524642150114e-01,1.146000000000000085e+01,4.599999999999999645e+00
6.814415029835050319e-01,1.291000000000000014e+01,4.599999999999999645e+00
6.853610166240144963e-01,1.401999999999999957e+01,4.599999999999999645e+00
6.936104286577950973e-01,1.755000000000000071e+01,7.500000000000000000e+00
7.022895872684458141e-01,1.639999999999999858e+01,6.599999999999999645e+00
7.067108282094460847e-01,2.726999999999999957e+01,5.200000000000000178e+00
7.188561167500946425e-01,2.508999999999999986e+01,4.299999999999999822e+00
7.403187704722018481e-01,3.568999999999999773e+01,4.500000000000000000e+00
7.460241516035779341e-01,2.241000000000000014e+01,6.700000000000000178e+00
7.513573819968044631e-01,4.117000000000000171e+01,4.299999999999999822e+00
7.534095503022424367e-01,3.497999999999999687e+01,6.099999999999999645e+00
7.612893167255014859e-01,3.245000000000000284e+01,6.500000000000000000e+00
7.640699653771303446e-01,3.753999999999999915e+01,4.900000000000000355e+00
7.720638875812610991e-01,4.106000000000000227e+01,5.799999999999999822e+00
7.765085208941240325e-01,4.534000000000000341e+01,4.599999999999999645e+00
7.875002251840470535e-01,4.503000000000000114e+01,4.400000000000000355e+00
7.875656703423388194e-01,4.239000000000000057e+01,7.200000000000000178e+00
7.982311847373253499e-01,4.760999999999999943e+01,4.500000000000000000e+00
8.091167708769844147e-01,4.940999999999999659e+01,2.200000000000000178e+00
8.093407082131980346e-01,5.614999999999999858e+01,4.700000000000000178e+00
8.292443700911640292e-01,5.640999999999999659e+01,4.500000000000000000e+00
8.403302562132575204e-01,5.925999999999999801e+01,4.299999999999999822e+00
8.508015730082529871e-01,6.678000000000000114e+01,6.400000000000000355e+00
8.508980337663767379e-01,5.865999999999999659e+01,2.500000000000000000e+00
8.799009811102549428e-01,6.320000000000000284e+01,3.200000000000000178e+00
8.839510319101933078e-01,6.165999999999999659e+01,4.200000000000000178e+00
8.916103358711495730e-01,5.857000000000000028e+01,4.500000000000000000e+00
9.118813833239842737e-01,6.364000000000000057e+01,4.400000000000000355e+00
9.190489470688696372e-01,6.014999999999999858e+01,4.599999999999999645e+00
9.379060328971462468e-01,6.047999999999999687e+01,6.000000000000000000e+00
9.404126537955139753e-01,6.338000000000000256e+01,4.599999999999999645e+00
9.531252370657679052e-01,6.132999999999999829e+01,5.599999999999999645e+00
9.547229526682023959e-01,7.389000000000000057e+01,5.900000000000000355e+00
9.637620147868766196e-01,5.897999999999999687e+01,7.500000000000000000e+00
9.750133619451517575e-01,6.307000000000000028e+01,6.099999999999999645e+00
9.861701599084451431e-01,5.685999999999999943e+01,5.000000000000000000e+00
9.889399975751569372e-01,5.478000000000000114e+01,6.200000000000000178e+00
9.893572851459708772e-01,5.350999999999999801e+01,4.400000000000000355e+00
