star_x_au,star_z_au,planet_x_au,planet_z_au
3.973148237148262096e-03,1.336556423331588129e-03,-6.115054085475398749e-01,-2.057087812768972068e-01
3.955402842194817581e-03,1.365633309034812492e-03,-6.087742230132612287e-01,-2.101839913143666860e-01
3.937256241390301933e-03,1.394571672255869943e-03,-6.059812880719064321e-01,-2.146378814206394980e-01
3.918708098311338150e-03,1.423367806487560146e-03,-6.031265519447085444e-01,-2.190698811289057135e-01
3.899758075758801706e-03,1.452017965274955994e-03,-6.002099627335061305e-01,-2.234794138240193684e-01
3.880405836157347320e-03,1.480518361029990737e-03,-5.972314684822341846e-01,-2.278658965600520170e-01
3.860651041974780089e-03,1.508865163821305772e-03,-5.941910172414682778e-01,-2.322287398740385811e-01
3.840493356162203841e-03,1.537054500138552255e-03,-5.910885571361691460e-01,-2.365673475957918159e-01
3.819932442615945473e-03,1.565082451630330981e-03,-5.879240364367754879e-01,-2.408811166536592441e-01
3.798967966662270511e-03,1.592945053814928116e-03,-5.846974036338073999e-01,-2.451694368760928833e-01
3.777599595566002305e-03,1.620638294762991993e-03,-5.814086075161477574e-01,-2.494316907889007895e-01
3.755826999064171539e-03,1.648158113751264963e-03,-5.780575972531757367e-01,-2.536672534080436914e-01
3.733649849925922519e-03,1.675500399886478654e-03,-5.746443224809416606e-01,-2.578754920278385487e-01
3.711067824539926972e-03,1.702660990698481739e-03,-5.711687333925754562e-01,-2.620557660044289250e-01
3.688080603530644562e-03,1.729635670701672352e-03,-5.676307808331355620e-01,-2.662074265343743473e-01
3.664687872404840448e-03,1.756420169923762417e-03,-5.640304163991131103e-01,-2.703298164282136873e-01
3.640889322229820101e-03,1.783010162400894402e-03,-5.603675925428202031e-01,-2.744222698788494341e-01
3.616684650344958226e-03,1.809401264638110665e-03,-5.566422626818998687e-01,-2.784841122245989564e-01
3.592073561108139433e-03,1.835589034034143443e-03,-5.528543813142107188e-01,-2.825146597067546561e-01
3.567055766678830196e-03,1.861568967269483553e-03,-5.490039041383493190e-01,-2.865132192214928097e-01
3.541630987839607895e-03,1.887336498656661844e-03,-5.450907881800911570e-01,-2.904790880659655072e-01
3.515798954858033887e-03,1.912886998451651145e-03,-5.411149919250416440e-01,-2.944115536784095988e-01
3.489559408390895904e-03,1.938215771125289784e-03,-5.370764754578066791e-01,-2.983098933721026191e-01
3.462912100432914437e-03,1.963318053593593460e-03,-5.329752006080080706e-01,-3.021733740629899412e-01
3.435856795312146588e-03,1.988189013405805561e-03,-5.288111311034863204e-01,-3.060012519908097972e-01
3.408393270734430113e-03,2.012823746889039287e-03,-5.245842327310494824e-01,-3.097927724335349242e-01
3.380521318879327938e-03,2.037217277248311136e-03,-5.202944735051504566e-01,-3.135471694149498112e-01
3.352240747550177830e-03,2.061364552620778990e-03,-5.159418238448892913e-01,-3.172636654051798621e-01
3.323551381380969016e-03,2.085260444082974625e-03,-5.115262567597648191e-01,-3.209414710139848470e-01
3.294453063102948352e-03,2.108899743609800488e-03,-5.070477480446157204e-01,-3.245797846766295680e-01
3.264945654873976661e-03,2.132277161984059977e-03,-5.025062764842223029e-01,-3.281777923321403945e-01
3.235029039673832305e-03,2.155387326655278275e-03,-4.979018240680561092e-01,-3.317346670937569297e-01
3.204703122768853395e-03,2.178224779546550013e-03,-4.932343762157030964e-01,-3.352495689113861310e-01
3.173967833249442295e-03,2.200783974808184253e-03,-4.885039220134996807e-01,-3.387216442258654814e-01
3.142823125644198922e-03,2.223059276516864413e-03,-4.837104544629639569e-01,-3.421500256148424790e-01
3.111268981614620250e-03,2.245044956319087147e-03,-4.788539707416253899e-01,-3.455338314300777092e-01
3.079305411734526744e-03,2.266735191017637662e-03,-4.739344724768957962e-01,-3.488721654259794858e-01
3.046932457358599803e-03,2.288124060099854667e-03,-4.689519660336549101e-01,-3.521641163791809914e-01
3.014150192584654983e-03,2.309205543206485807e-03,-4.639064628162636872e-01,-3.554087576989726216e-01
2.980958726314528618e-03,2.329973517539927520e-03,-4.587979795857528020e-01,-3.586051470284056797e-01
2.947358204418706971e-03,2.350421755210699206e-03,-4.536265387929818149e-01,-3.617523258358890659e-01
2.913348812010135847e-03,2.370543920521011975e-03,-4.483921689285984002e-01,-3.648493189971046546e-01
2.878930775832900992e-03,2.390333567184358635e-03,-4.430949048906801524e-01,-3.678951343670761598e-01
2.844104366771837370e-03,2.409784135480101414e-03,-4.377347883709866161e-01,-3.708887623422324475e-01
2.808869902489392976e-03,2.428888949342083818e-03,-4.323118682607984264e-01,-3.738291754123174715e-01
2.773227750196470554e-03,2.447641213380388845e-03,-4.268262010773759552e-01,-3.767153277020103830e-01
2.737178329564314040e-03,2.466034009835438214e-03,-4.212778514121262030e-01,-3.795461545021323047e-01
2.700722115784886905e-03,2.484060295463743923e-03,-4.156668924016246880e-01,-3.823205717903338519e-01
2.663859642787620198e-03,2.501712898354718426e-03,-4.099934062227033604e-01,-3.850374757411718085e-01
2.626591506620807974e-03,2.518984514678113650e-03,-4.042574846128796362e-01,-3.876957422255090657e-01
2.588918369006411747e-03,2.535867705361787450e-03,-3.984592294174746918e-01,-3.902942262991906941e-01
2.550840961077482320e-03,2.552354892699679970e-03,-3.925987531648383322e-01,-3.928317616809801627e-01
2.512360087307933393e-03,2.568438356890090108e-03,-3.866761796711787880e-01,-3.953071602197660295e-01
2.473476629644917428e-03,2.584110232504544837e-03,-3.806916446765745698e-01,-3.977192113510879534e-01
2.434191551854611099e-03,2.599362504887817778e-03,-3.746452965138324931e-01,-4.000666815430649614e-01
2.394505904092812231e-03,2.614187006489941852e-03,-3.685372968119457471e-01,-4.023483137318571989e-01
2.354420827712342540e-03,2.628575413131361335e-03,-3.623678212359998096e-01,-4.045628267468370787e-01
2.313937560319932231e-03,2.642519240202735164e-03,-3.561370602654743700e-01,-4.067089147257032522e-01
2.273057441095902628e-03,2.656009838801301828e-03,-3.498452200129936740e-01,-4.087852465198296148e-01
2.231781916390696788e-03,2.669038391806138628e-03,-3.434925230856856193e-01,-4.107904650902106103e-01
2.190112545613043162e-03,2.681595909895172387e-03,-3.370792094914268344e-01,-4.127231868944414850e-01
2.148051007425326626e-03,2.693673227507313497e-03,-3.306055375923690476e-01,-4.145820012652517428e-01
2.105599106262543568e-03,2.705260998753720048e-03,-3.240717851082684509e-01,-4.163654697812100847e-01
2.062758779192081990e-03,2.716349693282859353e-03,-3.174782501722712147e-01,-4.180721256303176481e-01
2.019532103132437584e-03,2.726929592104787407e-03,-3.108252524419429785e-01,-4.197004729673248224e-01
1.975921302449924321e-03,2.736990783380898688e-03,-3.041131342684747496e-01,-4.212489862657335937e-01
1.931928756953381994e-03,2.746523158186316323e-03,-2.973422619271451350e-01,-4.227161096655890904e-01
1.887557010307884964e-03,2.755516406253099692e-03,-2.905130269122699893e-01,-4.241002563183186580e-01
1.842808778889491348e-03,2.763960011703583616e-03,-2.836258473000325409e-01,-4.253998077300522596e-01
1.797686961104131989e-03,2.771843248784389320e-03,-2.766811691827499309e-01,-4.266131131050451275e-01
1.752194647194845996e-03,2.779155177612999562e-03,-2.696794681782996861e-01,-4.277384886910360895e-01
1.706335129562686114e-03,2.785884639950322091e-03,-2.626212510186058946e-01,-4.287742171286046400e-01
1.660111913627778822e-03,2.792020255014294929e-03,-2.555070572212598812e-01,-4.297185468068443481e-01
1.613528729258194338e-03,2.797550415351411895e-03,-2.483374608485320878e-01,-4.305696912279520783e-01
1.566589542795473675e-03,2.802463282785058220e-03,-2.411130723582156077e-01,-4.313258283836369222e-01
1.519298569706860119e-03,2.806746784461710154e-03,-2.338345405509251740e-01,-4.319851001465943030e-01
