star_x_au,star_z_au,planet_x_au,planet_z_au
-6.206329756941832143e-02,7.034347584563030442e-02,5.163992734333784362e+00,-5.852947110461173885e+00
-6.240592751038311070e-02,7.031415827729511903e-02,5.192501347233838160e+00,-5.850507734601360532e+00
-6.274555352049950019e-02,7.028145609194741406e-02,5.220760017290326793e+00,-5.847786740807188188e+00
-6.308217857822427665e-02,7.024539251201075696e-02,5.248768992326516170e+00,-5.844786061306415093e+00
-6.341580549570256797e-02,7.020599032250426919e-02,5.276528506327671231e+00,-5.841507591932454169e+00
-6.374643691958185865e-02,7.016327188105177248e-02,5.304038779508780443e+00,-5.837953192957182402e+00
-6.407407533178820225e-02,7.011725912757972579e-02,5.331300018379142358e+00,-5.834124689897858040e+00
-6.439872305026425603e-02,7.006797359371545741e-02,5.358312415803773376e+00,-5.830023874299101294e+00
-6.472038222966931820e-02,7.001543641189673928e-02,5.385076151061660710e+00,-5.825652504490870243e+00
-6.503905486204115960e-02,6.995966832420348613e-02,5.411591389900824112e+00,-5.821012306323291696e+00
-6.535474277741953886e-02,6.990068969092159967e-02,5.437858284590192604e+00,-5.816104973879217432e+00
-6.566744764443113724e-02,6.983852049884839430e-02,5.463876973968284645e+00,-5.810932170165291843e+00
-6.597717097083628801e-02,6.977318036934944401e-02,5.489647583488684646e+00,-5.805495527782318810e+00
-6.628391410403684791e-02,6.970468856617530184e-02,5.515170225262315817e+00,-5.799796649575643670e+00
-6.658767823154561338e-02,6.963306400304668242e-02,5.540444998096485385e+00,-5.793837109266295471e+00
-6.688846438141698991e-02,6.955832525101646180e-02,5.565471987530725251e+00,-5.787618452063534313e+00
-6.718627342263873425e-02,6.948049054561605820e-02,5.590251265869389030e+00,-5.781142195259468153e+00
-6.748110606548513024e-02,6.939957779379384017e-02,5.614782892211033882e+00,-5.774409828806372325e+00
-6.777296286183097374e-02,6.931560458065279262e-02,5.639066912474540061e+00,-5.767422815877289999e+00
-6.806184420542651936e-02,6.922858817599412962e-02,5.663103359422004601e+00,-5.760182593410499763e+00
-6.834775033213363882e-02,6.913854554067369595e-02,5.686892252678373616e+00,-5.752690572638401889e+00
-6.863068132012239975e-02,6.904549333277734680e-02,5.710433598747806094e+00,-5.744948139601341985e+00
-6.891063709002850923e-02,6.894944791362159209e-02,5.733727391026777198e+00,-5.736956655646889836e+00
-6.918761740507139990e-02,6.885042535358497362e-02,5.756773609813897963e+00,-5.728717457915055711e+00
-6.946162187113266717e-02,6.874844143777637806e-02,5.779572222316446961e+00,-5.720231859809904229e+00
-6.973264993679488544e-02,6.864351167154503219e-02,5.802123182653589062e+00,-5.711501151458032055e+00
-7.000070089334055334e-02,6.853565128583795352e-02,5.824426431856306152e+00,-5.702526600154328662e+00
-7.026577387471109881e-02,6.842487524240944974e-02,5.846481897863968769e+00,-5.693309450795433158e+00
-7.052786785742576336e-02,6.831119823888764930e-02,5.868289495517593046e+00,-5.683850926301293960e+00
-7.078698166045996332e-02,6.819463471370262875e-02,5.889849126549727920e+00,-5.674152228025223899e+00
-7.104311394508333599e-02,6.807519885088059164e-02,5.911160679570965470e+00,-5.664214536152792689e+00
-7.129626321465687422e-02,6.795290458470826245e-02,5.932224030053069974e+00,-5.654039010089933370e+00
-7.154642781438902421e-02,6.782776560427185297e-02,5.953039040308678587e+00,-5.643626788840605535e+00
-7.179360593105059418e-02,6.769979535787429281e-02,5.973605559467588755e+00,-5.632978991374335997e+00
-7.203779559264801569e-02,6.756900705733467905e-02,5.993923423449566634e+00,-5.622096716983952192e+00
-7.227899466805495776e-02,6.743541368217362275e-02,6.013992454933696052e+00,-5.610981045633824493e+00
-7.251720086660159992e-02,6.729902798368792016e-02,6.033812463324198738e+00,-5.599633038298902576e+00
-7.275241173762141134e-02,6.715986248891808730e-02,6.053383244712732036e+00,-5.588053737294836232e+00
-7.298462466995521425e-02,6.701792950451204711e-02,6.072704581837122362e+00,-5.576244166599445329e+00
-7.321383689141199025e-02,6.687324112048789737e-02,6.091776244036497978e+00,-5.564205332165819584e+00
-7.344004546818595769e-02,6.672580921389921482e-02,6.110597987202789128e+00,-5.551938222227272846e+00
-7.366324730422969813e-02,6.657564545240549081e-02,6.129169553728568864e+00,-5.539443807594429892e+00
-7.388343914058270734e-02,6.642276129775077920e-02,6.147490672451187521e+00,-5.526723041944672232e+00
-7.410061755465510713e-02,6.626716800915309624e-02,6.165561058593167942e+00,-5.513776862104151633e+00
-7.431477895946565770e-02,6.610887664660752838e-02,6.183380413698808198e+00,-5.500606188322617385e+00
-7.452591960283395933e-02,6.594789807410528226e-02,6.200948425566965128e+00,-5.487211924541269603e+00
-7.473403556652603863e-02,6.578424296277127215e-02,6.218264768179966318e+00,-5.473594958653820619e+00
-7.493912276535269479e-02,6.561792179392290925e-02,6.235329101628589221e+00,-5.459756162760995402e+00
-7.514117694622017563e-02,6.544894486205186934e-02,6.252141072033070124e+00,-5.445696393418638870e+00
-7.534019368713253118e-02,6.527732227773154483e-02,6.268700311460088770e+00,-5.431416491879628161e+00
-7.553616839614472889e-02,6.510306397045219351e-02,6.285006437835667370e+00,-5.416917284329765714e+00
-7.572909631026600308e-02,6.492617969138579637e-02,6.301059054853931585e+00,-5.402199582117843235e+00
-7.591897249431291128e-02,6.474667901608278930e-02,6.316857751881661542e+00,-5.387264181980006228e+00
-7.610579183971075135e-02,6.456457134710244516e-02,6.332402103858583153e+00,-5.372111866258640234e+00
-7.628954906324325602e-02,6.437986591657919588e-02,6.347691671193313567e+00,-5.356743403115875601e+00
-7.647023870574895521e-02,6.419257178872621317e-02,6.362725999654916365e+00,-5.341159546741914177e+00
-7.664785513076409484e-02,6.400269786227848201e-02,6.377504620259965229e+00,-5.325361037558305810e+00
-7.682239252311058586e-02,6.381025287287686587e-02,6.392027049155056595e+00,-5.309348602416306129e+00
-7.699384488742821997e-02,6.361524539539496759e-02,6.406292787494699326e+00,-5.293122954790494106e+00
-7.716220604665047222e-02,6.341768384621031263e-02,6.420301321314472176e+00,-5.276684794967740011e+00
-7.732746964042222504e-02,6.321757648542156161e-02,6.434052121399378876e+00,-5.260034810231687175e+00
-7.748962912345890020e-02,6.301493141901319539e-02,6.447544643147322674e+00,-5.243173675042877235e+00
-7.764867776384547227e-02,6.280975660096937974e-02,6.460778326427580431e+00,-5.226102051214615685e+00
-7.780460864127466958e-02,6.260205983533802254e-02,6.473752595434184798e+00,-5.208820588084728698e+00
-7.795741464522239206e-02,6.239184877824700132e-02,6.486466858534144286e+00,-5.191329922683321385e+00
-7.810708847305988800e-02,6.217913093987365719e-02,6.498920508110340499e+00,-5.173630679896639606e+00
-7.825362262810069136e-02,6.196391368636888081e-02,6.511112920399039439e+00,-5.155723472627177451e+00
-7.839700941758158403e-02,6.174620424173724725e-02,6.523043455321881012e+00,-5.137608901950100559e+00
-7.853724095057539045e-02,6.152600968967424089e-02,6.534711456312232158e+00,-5.119287557266125610e+00
-7.867430913583485508e-02,6.130333697536230475e-02,6.546116250135773917e+00,-5.100760016450959000e+00
-7.880820567956567380e-02,6.107819290722640154e-02,6.557257146705198103e+00,-5.082026846001357789e+00
-7.893892208312697223e-02,6.085058415865065434e-02,6.568133438888896336e+00,-5.063088601177976322e+00
-7.906644964065789871e-02,6.062051726965710791e-02,6.578744402313459361e+00,-5.043945826145042943e+00
-7.919077943662822250e-02,6.038799864854785260e-02,6.589089295159895165e+00,-5.024599054106984930e+00
-7.931190234331170208e-02,6.015303457351139915e-02,6.599167357953372282e+00,-5.005048807442108227e+00
-7.942980901817943418e-02,5.991563119419490019e-02,6.608977813346359476e+00,-4.985295597833395043e+00
-7.954448990121219809e-02,5.967579453324282218e-02,6.618519865894982424e+00,-4.965339926396532988e+00
-7.965593521212918637e-02,5.943353048780334463e-02,6.627792701828445487e+00,-4.945182283805267254e+00
-7.976413494753113731e-02,5.918884483100378402e-02,6.636795488811324084e+00,-4.924823150414145090e+00
-7.986907887795585692e-02,5.894174321339557682e-02,6.645527375698569550e+00,-4.904262996378766282e+00
-7.997075654484360474e-02,5.869223116437045917e-02,6.653987492283014227e+00,-4.883502281773598241e+00
-8.006915725741016454e-02,5.844031409354832896e-02,6.662174949035188476e+00,-4.862541456707461407e+00
-8.016427008942515753e-02,5.818599729213813632e-02,6.670088836835267543e+00,-4.841380961436771990e+00
-8.025608387589285020e-02,5.792928593427287831e-02,6.677728226696891589e+00,-4.820021226476597143e+00
-8.034458720963312539e-02,5.767018507831930124e-02,6.685092169482687474e+00,-4.798462672709656651e+00
-8.042976843775956342e-02,5.740869966816381648e-02,6.692179695611225831e+00,-4.776705711493297812e+00
-8.051161565805203812e-02,5.714483453447526812e-02,6.698989814755201166e+00,-4.754750744764571380e+00
-8.059011671522060827e-02,5.687859439594564886e-02,6.705521515530569410e+00,-4.732598165143465430e+00
-8.066525919705790082e-02,5.660998386050984654e-02,6.711773765176402229e+00,-4.710248356034393957e+00
-8.073703043047653072e-02,5.633900742654532334e-02,6.717745509225184541e+00,-4.687701691726018360e+00
-8.080541747742835124e-02,5.606566948405278250e-02,6.723435671163271898e+00,-4.664958537489483525e+00
-8.087040713070205167e-02,5.578997431581884936e-02,6.728843152081233292e+00,-4.642019249675158221e+00
-8.093198590959560512e-02,5.551192609856161336e-02,6.733966830313761420e+00,-4.618884175807952630e+00
-8.099014005545948636e-02,5.523152890406046733e-02,6.738805561068867966e+00,-4.595553654681324929e+00
-8.104485552710723184e-02,5.494878670027069506e-02,6.743358176045997965e+00,-4.572028016450022214e+00
-8.109611799608895666e-02,5.466370335242444478e-02,6.747623483042769266e+00,-4.548307582721681008e+00
-8.114391284182367881e-02,5.437628262411871999e-02,6.751600265549961399e+00,-4.524392666647368166e+00
-8.118822514658616263e-02,5.408652817839172677e-02,6.755287282334384358e+00,-4.500283573011125249e+00
-8.122903969034370175e-02,5.379444357878862548e-02,6.758683267009279128e+00,-4.475980598318650472e+00
-8.126634094543795650e-02,5.350003229041771363e-02,6.761786927591812990e+00,-4.451484030885172416e+00
-8.130011307110700247e-02,5.320329768099832379e-02,6.764596946047291226e+00,-4.426794150922653159e+00
-8.133033990784252487e-02,5.290424302190159522e-02,6.767111977819643798e+00,-4.401911230626373239e+00
-8.135700497157663524e-02,5.260287148918523642e-02,6.769330651347736705e+00,-4.376835534261036109e+00
-8.138009144769282888e-02,5.229918616462365943e-02,6.771251567567054153e+00,-4.351567318246480909e+00
-8.139958218485526809e-02,5.199319003673472800e-02,6.772873299396259483e+00,-4.326106831243107465e+00
-8.141545968865038230e-02,5.168488600180429909e-02,6.774194391208140154e+00,-4.300454314237130760e+00
-8.142770611503410971e-02,5.137427686491023021e-02,6.775213358284395859e+00,-4.274610000625777673e+00
-8.143630326357882698e-02,5.106136534094689317e-02,6.775928686253739563e+00,-4.248574116302541448e+00
-8.144123257051265330e-02,5.074615405565205406e-02,6.776338830512719902e+00,-4.222346879742610248e+00
-8.144247510154384306e-02,5.042864554663724352e-02,6.776442215628701859e+00,-4.195928502088607459e+00
-8.144001154446346702e-02,5.010884226442356704e-02,6.776237234724339586e+00,-4.169319187236775193e+00
-8.143382220151783313e-02,4.978674657348430149e-02,6.775722248842936501e+00,-4.142519131923725340e+00
-8.142388698154284787e-02,4.946236075329616538e-02,6.774895586293991911e+00,-4.115528525813910932e+00
-8.141018539185213010e-02,4.913568699940102508e-02,6.773755541978226269e+00,-4.088347551587958151e+00
-8.139269652986928782e-02,4.880672742447982049e-02,6.772300376691364754e+00,-4.060976385032030400e+00
-8.137139907449586484e-02,4.847548405944075711e-02,6.770528316405891367e+00,-4.033415195128370989e+00
