time_days,model_velocity_ms
0.000000000000000000e+00,6.780906445247089209e+01
7.833706853427216954e-01,6.770357631540665011e+01
1.566741370685443391e+00,6.759789568031958140e+01
2.350112056028164975e+00,6.749202194212325878e+01
3.133482741370886782e+00,6.738595449060024123e+01
3.916853426713608588e+00,6.727969271038341503e+01
4.700224112056329950e+00,6.717323598093744863e+01
5.483594797399051757e+00,6.706658367653956532e+01
6.266965482741773563e+00,6.695973516626065702e+01
7.050336168084495370e+00,6.685268981394484911e+01
7.833706853427217176e+00,6.674544697819023042e+01
8.617077538769938982e+00,6.663800601232799181e+01
9.400448224112659901e+00,6.653036626440173507e+01
1.018381890945538260e+01,6.642252707714649773e+01
1.096718959479810351e+01,6.631448778796702470e+01
1.175056028014082621e+01,6.620624772891632404e+01
1.253393096548354713e+01,6.609780622667315697e+01
1.331730165082626804e+01,6.598916260251976951e+01
1.410067233616899074e+01,6.588031617231858661e+01
1.488404302151171166e+01,6.577126624648980169e+01
1.566741370685443435e+01,6.566201212998640813e+01
1.645078439219715705e+01,6.555255312227163245e+01
1.723415507753987796e+01,6.544288851729378109e+01
1.801752576288259888e+01,6.533301760346157039e+01
1.880089644822531980e+01,6.522293966361928597e+01
1.958426713356804072e+01,6.511265397502090480e+01
2.036763781891076519e+01,6.500215980930491355e+01
2.115100850425348611e+01,6.489145643246725115e+01
2.193437918959620703e+01,6.478054310483540235e+01
2.271774987493892795e+01,6.466941908104104186e+01
2.350112056028165242e+01,6.455808360999286322e+01
2.428449124562437333e+01,6.444653593484848386e+01
2.506786193096709425e+01,6.433477529298667719e+01
2.585123261630981517e+01,6.422280091597883711e+01
2.663460330165253609e+01,6.411061202955937688e+01
2.741797398699526056e+01,6.399820785359739261e+01
2.820134467233798148e+01,6.388558760206637999e+01
2.898471535768070240e+01,6.377275048301372351e+01
2.976808604302342331e+01,6.365969569853123033e+01
3.055145672836614779e+01,6.354642244472309187e+01
3.133482741370886870e+01,6.343292991167520256e+01
3.211819809905158962e+01,6.331921728342293676e+01
3.290156878439431409e+01,6.320528373791951537e+01
3.368493946973703146e+01,6.309112844700295142e+01
3.446831015507975593e+01,6.297675057636307372e+01
3.525168084042247330e+01,6.286214928550826642e+01
3.603505152576519777e+01,6.274732372773156186e+01
3.681842221110792224e+01,6.263227305007615087e+01
3.760179289645063960e+01,6.251699639330079350e+01
3.838516358179336407e+01,6.240149289184459747e+01
3.916853426713608144e+01,6.228576167379159756e+01
3.995190495247880591e+01,6.216980186083436877e+01
4.073527563782153038e+01,6.205361256823756833e+01
4.151864632316424775e+01,6.193719290480127171e+01
4.230201700850697222e+01,6.182054197282334229e+01
4.308538769384969669e+01,6.170365886806141020e+01
4.386875837919241405e+01,6.158654267969500751e+01
4.465212906453513853e+01,6.146919249028629650e+01
4.543549974987785589e+01,6.135160737574101120e+01
4.621887043522058036e+01,6.123378640526895822e+01
4.700224112056330483e+01,6.111572864134330985e+01
4.778561180590602220e+01,6.099743313966022384e+01
4.856898249124874667e+01,6.087889894909770305e+01
4.935235317659146403e+01,6.076012511167395758e+01
5.013572386193418851e+01,6.064111066250492854e+01
5.091909454727691298e+01,6.052185462976194685e+01
5.170246523261963034e+01,6.040235603462883063e+01
5.248583591796235481e+01,6.028261389125742653e+01
5.326920660330507218e+01,6.016262720672419562e+01
5.405257728864779665e+01,6.004239498098549177e+01
5.483594797399052112e+01,5.992191620683180275e+01
5.561931865933323849e+01,5.980118986984253127e+01
5.640268934467596296e+01,5.968021494833983809e+01
5.718606003001868032e+01,5.955899041334154020e+01
5.796943071536140479e+01,5.943751522851383129e+01
5.875280140070412926e+01,5.931578835012378192e+01
5.953617208604684663e+01,5.919380872699049689e+01
6.031954277138957110e+01,5.907157530043659932e+01
6.110291345673229557e+01,5.894908700423845005e+01
6.188628414207501294e+01,5.882634276457615385e+01
6.266965482741773741e+01,5.870334149998311091e+01
6.345302551276045477e+01,5.858008212129456638e+01
6.423639619810317924e+01,5.845656353159577634e+01
6.501976688344589661e+01,5.833278462617025895e+01
6.580313756878862819e+01,5.820874429244612713e+01
6.658650825413134555e+01,5.808444140994305371e+01
6.736987893947406292e+01,5.795987485021773011e+01
6.815324962481679449e+01,5.783504347680977276e+01
6.893662031015951186e+01,5.770994614518554044e+01
6.971999099550222923e+01,5.758458170268304599e+01
7.050336168084494659e+01,5.745894898845448040e+01
7.128673236618767817e+01,5.733304683341012264e+01
7.207010305153039553e+01,5.720687406015925092e+01
7.285347373687311290e+01,5.708042948295271657e+01
7.363684442221584447e+01,5.695371190762318037e+01
7.442021510755856184e+01,5.682672013152555479e+01
7.520358579290127921e+01,5.669945294347674292e+01
7.598695647824401078e+01,5.657190912369426172e+01
7.677032716358672815e+01,5.644408744373456699e+01
7.755369784892944551e+01,5.631598666643073159e+01
7.833706853427216288e+01,5.618760554582889455e+01
7.912043921961489445e+01,5.605894282712523591e+01
7.990380990495761182e+01,5.592999724660056415e+01
8.068718059030032919e+01,5.580076753155573499e+01
8.147055127564306076e+01,5.567125240024528665e+01
8.225392196098577813e+01,5.554145056181105389e+01
8.303729264632849549e+01,5.541136071621460246e+01
8.382066333167122707e+01,5.528098155416915915e+01
8.460403401701394444e+01,5.515031175707104438e+01
8.538740470235666180e+01,5.501934999692926453e+01
8.617077538769939338e+01,5.488809493629605640e+01
8.695414607304211074e+01,5.475654522819507974e+01
8.773751675838482811e+01,5.462469951604975194e+01
8.852088744372754547e+01,5.449255643361072998e+01
8.930425812907027705e+01,5.436011460488189329e+01
9.008762881441299442e+01,5.422737264404656088e+01
9.087099949975571178e+01,5.409432915539208864e+01
9.165437018509844336e+01,5.396098273323430305e+01
9.243774087044116072e+01,5.382733196184020130e+01
9.322111155578387809e+01,5.369337541535084313e+01
9.400448224112660967e+01,5.355911165770271509e+01
9.478785292646932703e+01,5.342453924254851927e+01
9.557122361181204440e+01,5.328965671317718034e+01
9.635459429715476176e+01,5.315446260243254528e+01
9.713796498249749334e+01,5.301895543263171362e+01
9.792133566784021070e+01,5.288313371548222364e+01
9.870470635318292807e+01,5.274699595199838598e+01
9.948807703852565965e+01,5.261054063241658696e+01
1.002714477238683770e+02,5.247376623611006607e+01
1.010548184092110944e+02,5.233667123150216582e+01
1.018381890945538260e+02,5.219925407597936839e+01
1.026215597798965433e+02,5.206151321580237123e+01
1.034049304652392607e+02,5.192344708601757475e+01
1.041883011505819923e+02,5.178505411036615413e+01
1.049716718359247096e+02,5.164633270119328756e+01
1.057550425212674270e+02,5.150728125935576429e+01
1.065384132066101444e+02,5.136789817412862647e+01
1.073217838919528759e+02,5.122818182311154089e+01
1.081051545772955933e+02,5.108813057213261999e+01
1.088885252626383107e+02,5.094774277515272587e+01
1.096718959479810422e+02,5.080701677416816153e+01
1.104552666333237596e+02,5.066595089911201910e+01
1.112386373186664770e+02,5.052454346775481753e+01
1.120220080040092085e+02,5.038279278560396790e+01
1.128053786893519259e+02,5.024069714580193136e+01
1.135887493746946433e+02,5.009825482902375882e+01
1.143721200600373606e+02,4.995546410337311727e+01
1.151554907453800922e+02,4.981232322427673864e+01
1.159388614307228096e+02,4.966883043437923817e+01
1.167222321160655270e+02,4.952498396343519005e+01
1.175056028014082585e+02,4.938078202820039309e+01
1.182889734867509759e+02,4.923622283232266739e+01
1.190723441720936933e+02,4.909130456623076100e+01
1.198557148574364248e+02,4.894602540702216231e+01
1.206390855427791422e+02,4.880038351835010246e+01
1.214224562281218596e+02,4.865437705030853266e+01
1.222058269134645911e+02,4.850800413931663968e+01
1.229891975988073085e+02,4.836126290800119421e+01
1.237725682841500259e+02,4.821415146507909810e+01
1.245559389694927432e+02,4.806666790523699717e+01
1.253393096548354748e+02,4.791881030901015492e+01
1.261226803401781922e+02,4.777057674266052345e+01
1.269060510255209095e+02,4.762196525805313740e+01
1.276894217108636411e+02,4.747297389253060373e+01
1.284727923962063585e+02,4.732360066878685956e+01
1.292561630815490901e+02,4.717384359473938105e+01
1.300395337668917932e+02,4.702370066340013466e+01
1.308229044522345248e+02,4.687316985274441095e+01
1.316062751375772564e+02,4.672224912557925336e+01
1.323896458229199595e+02,4.657093642940956357e+01
1.331730165082626911e+02,4.641922969630308415e+01
1.339563871936054227e+02,4.626712684275393173e+01
1.347397578789481258e+02,4.611462576954422588e+01
1.355231285642908574e+02,4.596172436160515673e+01
1.363064992496335890e+02,4.580842048787500431e+01
1.370898699349762921e+02,4.565471200115720762e+01
1.378732406203190237e+02,4.550059673797515813e+01
1.386566113056617269e+02,4.534607251842720643e+01
1.394399819910044585e+02,4.519113714603864906e+01
1.402233526763471900e+02,4.503578840761232982e+01
1.410067233616898932e+02,4.488002407307810415e+01
1.417900940470326248e+02,4.472384189534049170e+01
1.425734647323753563e+02,4.456723961012378510e+01
1.433568354177180595e+02,4.441021493581680346e+01
1.441402061030607911e+02,4.425276557331454086e+01
1.449235767884035226e+02,4.409488920585910421e+01
1.457069474737462258e+02,4.393658349887819270e+01
1.464903181590889574e+02,4.377784609982213482e+01
1.472736888444316889e+02,4.361867463799899269e+01
1.480570595297743921e+02,4.345906672440779062e+01
1.488404302151171237e+02,4.329901995156946981e+01
1.496238009004598553e+02,4.313853189335700478e+01
1.504071715858025584e+02,4.297760010482255666e+01
1.511905422711452900e+02,4.281622212202285027e+01
1.519739129564880216e+02,4.265439546184310871e+01
1.527572836418307247e+02,4.249211762181859342e+01
1.535406543271734563e+02,4.232938607995430402e+01
1.543240250125161879e+02,4.216619829454222668e+01
1.551073956978588910e+02,4.200255170397701221e+01
1.558907663832016226e+02,4.183844372656942312e+01
1.566741370685443258e+02,4.167387176035770580e+01
1.574575077538870573e+02,4.150883318291611346e+01
1.582408784392297889e+02,4.134332535116299567e+01
1.590242491245724921e+02,4.117734560116409881e+01
1.598076198099152236e+02,4.101089124793666230e+01
1.605909904952579552e+02,4.084395958524851977e+01
1.613743611806006584e+02,4.067654788541676680e+01
1.621577318659433899e+02,4.050865339910309615e+01
1.629411025512861215e+02,4.034027335510745615e+01
1.637244732366288247e+02,4.017140496015923645e+01
1.645078439219715563e+02,4.000204539870509279e+01
1.652912146073142878e+02,3.983219183269620345e+01
1.660745852926569910e+02,3.966184140137136183e+01
1.668579559779997226e+02,3.949099122103822168e+01
1.676413266633424541e+02,3.931963838485262386e+01
1.684246973486851573e+02,3.914777996259420689e+01
1.692080680340278889e+02,3.897541300044046153e+01
1.699914387193706204e+02,3.880253452073789333e+01
1.707748094047133236e+02,3.862914152176971072e+01
1.715581800900560552e+02,3.845523097752252539e+01
1.723415507753987868e+02,3.828079983744906656e+01
1.731249214607414899e+02,3.810584502622800329e+01
1.739082921460842215e+02,3.793036344352219658e+01
1.746916628314269246e+02,3.775435196373324231e+01
1.754750335167696562e+02,3.757780743575336402e+01
1.762584042021123878e+02,3.740072668271433542e+01
1.770417748874550909e+02,3.722310650173395885e+01
1.778251455727978225e+02,3.704494366365904767e+01
1.786085162581405541e+02,3.686623491280571585e+01
1.793918869434832573e+02,3.668697696669666897e+01
1.801752576288259888e+02,3.650716651579539018e+01
1.809586283141687204e+02,3.632680022323722113e+01
1.817419989995114236e+02,3.614587472455734485e+01
1.825253696848541551e+02,3.596438662741573467e+01
1.833087403701968867e+02,3.578233251131850778e+01
1.840921110555395899e+02,3.559970892733650771e+01
1.848754817408823214e+02,3.541651239782070348e+01
1.856588524262250530e+02,3.523273941611349613e+01
1.864422231115677562e+02,3.504838644625716881e+01
1.872255937969104878e+02,3.486344992269971499e+01
1.880089644822532193e+02,3.467792624999539441e+01
1.887923351675959225e+02,3.449181180250386092e+01
1.895757058529386541e+02,3.430510292408384743e+01
1.903590765382813856e+02,3.411779592778490411e+01
1.911424472236240888e+02,3.392988709553484483e+01
1.919258179089668204e+02,3.374137267782317906e+01
1.927091885943095235e+02,3.355224889338148841e+01
1.934925592796522551e+02,3.336251192885982420e+01
1.942759299649949867e+02,3.317215793849945271e+01
1.950593006503376898e+02,3.298118304380098920e+01
1.958426713356804214e+02,3.278958333319019403e+01
1.966260420210231530e+02,3.259735486167853225e+01
1.974094127063658561e+02,3.240449365052032960e+01
1.981927833917085877e+02,3.221099568686562264e+01
1.989761540770513193e+02,3.201685692340935674e+01
1.997595247623940224e+02,3.182207327803632779e+01
2.005428954477367540e+02,3.162664063346194965e+01
2.013262661330794856e+02,3.143055483686850238e+01
2.021096368184221888e+02,3.123381169953753655e+01
2.028930075037649203e+02,3.103640699647840506e+01
2.036763781891076519e+02,3.083833646605106082e+01
2.044597488744503551e+02,3.063959580958599815e+01
2.052431195597930866e+02,3.044018069099915280e+01
2.060264902451358182e+02,3.024008673640166478e+01
2.068098609304785214e+02,3.003930953370610268e+01
2.075932316158212529e+02,2.983784463222767158e+01
2.083766023011639845e+02,2.963568754228074553e+01
2.091599729865066877e+02,2.943283373477062170e+01
2.099433436718494193e+02,2.922927864078083360e+01
2.107267143571921224e+02,2.902501765115523469e+01
2.115100850425348540e+02,2.882004611607589339e+01
2.122934557278775856e+02,2.861435934463529307e+01
2.130768264132202887e+02,2.840795260440403069e+01
2.138601970985630203e+02,2.820082112099342808e+01
2.146435677839057519e+02,2.799296007761318350e+01
2.154269384692484550e+02,2.778436461462375107e+01
2.162103091545911866e+02,2.757502982908327382e+01
2.169936798399339182e+02,2.736495077429017897e+01
2.177770505252766213e+02,2.715412245931958779e+01
2.185604212106193529e+02,2.694253984855462036e+01
2.193437918959620845e+02,2.673019786121251684e+01
2.201271625813047876e+02,2.651709137086553625e+01
2.209105332666475192e+02,2.630321520495554211e+01
2.216939039519902508e+02,2.608856414430377413e+01
2.224772746373329539e+02,2.587313292261490005e+01
2.232606453226756855e+02,2.565691622597514510e+01
2.240440160080184171e+02,2.543990869234447061e+01
2.248273866933611203e+02,2.522210491104427277e+01
2.256107573787038518e+02,2.500349942223770938e+01
2.263941280640465834e+02,2.478408671640454131e+01
2.271774987493892866e+02,2.456386123381130560e+01
2.279608694347320181e+02,2.434281736397327833e+01
2.287442401200747213e+02,2.412094944511263961e+01
2.295276108054174529e+02,2.389825176360902859e+01
2.303109814907601844e+02,2.367471855344467713e+01
2.310943521761028876e+02,2.345034399564345406e+01
2.318777228614456192e+02,2.322512221770220719e+01
2.326610935467883507e+02,2.299904729301875506e+01
2.334444642321310539e+02,2.277211324031037520e+01
2.342278349174737855e+02,2.254431402302812515e+01
2.350112056028165171e+02,2.231564354876357115e+01
2.357945762881592202e+02,2.208609566864983265e+01
2.365779469735019518e+02,2.185566417675497419e+01
2.373613176588446834e+02,2.162434280947011089e+01
2.381446883441873865e+02,2.139212524489071754e+01
2.389280590295301181e+02,2.115900510218972741e+01
2.397114297148728497e+02,2.092497594098649927e+01
2.404948004002155528e+02,2.069003126070670717e+01
2.412781710855582844e+02,2.045416449993708952e+01
2.420615417709010160e+02,2.021736903577268052e+01
2.428449124562437191e+02,1.997963818315702866e+01
2.436282831415864507e+02,1.974096519421641105e+01
2.444116538269291823e+02,1.950134325758604348e+01
2.451950245122718854e+02,1.926076549773039304e+01
2.459783951976146170e+02,1.901922497425586656e+01
2.467617658829573202e+02,1.877671468121701537e+01
2.475451365683000517e+02,1.853322754641548542e+01
2.483285072536427833e+02,1.828875643069208934e+01
2.491118779389854865e+02,1.804329412721169845e+01
2.498952486243282181e+02,1.779683336074170441e+01
2.506786193096709496e+02,1.754936678692213192e+01
2.514619899950136528e+02,1.730088699153111520e+01
2.522453606803563844e+02,1.705138648974065063e+01
2.530287313656991159e+02,1.680085772536702393e+01
2.538121020510418191e+02,1.654929307011422779e+01
2.545954727363845507e+02,1.629668482280947117e+01
2.553788434217272822e+02,1.604302520863259929e+01
2.561622141070699854e+02,1.578830637833836548e+01
2.569455847924127170e+02,1.553252040747144491e+01
2.577289554777554486e+02,1.527565929557515290e+01
2.585123261630981801e+02,1.501771496539322470e+01
2.592956968484408549e+02,1.475867926206407788e+01
2.600790675337835864e+02,1.449854395231004389e+01
2.608624382191263180e+02,1.423730072361775711e+01
2.616458089044690496e+02,1.397494118341443325e+01
2.624291795898117812e+02,1.371145685823529803e+01
2.632125502751545127e+02,1.344683919288662821e+01
2.639959209604971875e+02,1.318107954960111883e+01
2.647792916458399191e+02,1.291416920718732086e+01
2.655626623311826506e+02,1.264609936017459546e+01
2.663460330165253822e+02,1.237686111794888433e+01
2.671294037018681138e+02,1.210644550388656526e+01
2.679127743872108454e+02,1.183484345447894626e+01
2.686961450725535201e+02,1.156204581845477364e+01
2.694795157578962517e+02,1.128804335589400765e+01
2.702628864432389832e+02,1.101282673734000994e+01
2.710462571285817148e+02,1.073638654290300565e+01
2.718296278139244464e+02,1.045871326136278512e+01
2.726129984992671780e+02,1.017979728926329130e+01
2.733963691846098527e+02,9.899628930006365124e+00
2.741797398699525843e+02,9.618198392938300145e+00
2.749631105552953159e+02,9.335495792435274609e+00
2.757464812406380474e+02,9.051511146983898470e+00
2.765298519259807790e+02,8.766234378260350013e+00
2.773132226113234537e+02,8.479655310204115892e+00
2.780965932966661853e+02,8.191763668092306716e+00
2.788799639820089169e+02,7.902549077610089512e+00
2.796633346673516485e+02,7.612001063919997534e+00
2.804467053526943801e+02,7.320109050731673506e+00
2.812300760380371116e+02,7.026862359367733291e+00
2.820134467233797864e+02,6.732250207833388345e+00
2.827968174087225179e+02,6.436261709882103332e+00
2.835801880940652495e+02,6.138885874086952299e+00
2.843635587794079811e+02,5.840111602909317412e+00
2.851469294647507127e+02,5.539927691772064122e+00
2.859303001500934442e+02,5.238322828134201359e+00
2.867136708354361190e+02,4.935285590570153147e+00
2.874970415207788506e+02,4.630804447852753469e+00
2.882804122061215821e+02,4.324867758039552257e+00
2.890637828914643137e+02,4.017463767567861055e+00
2.898471535768070453e+02,3.708580610354061946e+00
2.906305242621497769e+02,3.398206306900384277e+00
2.914138949474924516e+02,3.086328763411977150e+00
2.921972656328351832e+02,2.772935770921129972e+00
2.929806363181779147e+02,2.458015004422776428e+00
2.937640070035206463e+02,2.141554022022646109e+00
2.945473776888633779e+02,1.823540264096003227e+00
2.953307483742060526e+02,1.503961052461605163e+00
2.961141190595487842e+02,1.182803589570838199e+00
2.968974897448915158e+02,8.600549577129115164e-01
2.976808604302342474e+02,5.357021182381060953e-01
2.984642311155769789e+02,2.097319108003290467e-01
2.992476018009197105e+02,-1.178689473785183850e-01
3.000309724862623852e+02,-4.471138622234036575e-01
3.008143431716051168e+02,-7.780163634934140759e-01
3.015977138569478484e+02,-1.110590105447606390e+00
3.023810845422905800e+02,-1.444848867477318777e+00
3.031644552276333116e+02,-1.780806554712704326e+00
3.039478259129760431e+02,-2.118477198594725053e+00
3.047311965983187179e+02,-2.457874957413700656e+00
3.055145672836614494e+02,-2.799014116810496944e+00
3.062979379690041810e+02,-3.141909090238854674e+00
3.070813086543469126e+02,-3.486574419386066381e+00
3.078646793396896442e+02,-3.833024774548604796e+00
3.086480500250323757e+02,-4.181274954961757828e+00
3.094314207103750505e+02,-4.531339889076136274e+00
