phase,radial_velocity_ms,uncertainty_ms
1.462711894500223764e-02,4.650000000000000000e+01,3.500000000000000000e+00
2.470338794910276192e-02,5.270000000000000284e+01,3.200000000000000178e+00
2.755093059363389330e-02,4.520000000000000284e+01,4.099999999999999645e+00
8.563350558823401570e-02,2.710000000000000142e+01,3.000000000000000000e+00
1.542106577236381781e-01,-1.839999999999999858e+01,3.399999999999999911e+00
1.728069668108105361e-01,-4.089999999999999858e+01,3.600000000000000089e+00
1.735043659757025125e-01,-2.230000000000000071e+01,3.799999999999999822e+00
1.822981755481123400e-01,-3.529999999999999716e+01,3.399999999999999911e+00
1.970700614340330503e-01,-3.720000000000000284e+01,3.200000000000000178e+00
1.990534812633768524e-01,-3.030000000000000071e+01,3.100000000000000089e+00
2.160147688209086425e-01,-5.439999999999999858e+01,3.299999999999999822e+00
2.198854784125501283e-01,-4.320000000000000284e+01,3.500000000000000000e+00
2.323325999306007361e-01,-5.110000000000000142e+01,4.200000000000000178e+00
2.329300940933762831e-01,-5.089999999999999858e+01,3.899999999999999911e+00
3.215234172394616508e-01,-8.209999999999999432e+01,3.600000000000000089e+00
3.244241528258271501e-01,-7.900000000000000000e+01,3.799999999999999822e+00
3.683390670951496304e-01,-8.190000000000000568e+01,3.500000000000000000e+00
3.740767784531726647e-01,-7.979999999999999716e+01,3.500000000000000000e+00
3.764990486807846537e-01,-7.940000000000000568e+01,3.899999999999999911e+00
3.856678080497317751e-01,-8.120000000000000284e+01,3.399999999999999911e+00
4.060126550484710606e-01,-8.800000000000000000e+01,3.700000000000000178e+00
4.130589096312533570e-01,-8.640000000000000568e+01,3.799999999999999822e+00
4.145234229681378224e-01,-8.020000000000000284e+01,2.899999999999999911e+00
4.199353257160964858e-01,-8.050000000000000000e+01,3.600000000000000089e+00
4.353007718344485966e-01,-7.770000000000000284e+01,3.299999999999999822e+00
4.595594132269411602e-01,-7.429999999999999716e+01,4.000000000000000000e+00
4.627399144549713128e-01,-6.879999999999999716e+01,3.899999999999999911e+00
4.696828688848775357e-01,-7.250000000000000000e+01,4.299999999999999822e+00
4.828853733013147576e-01,-6.409999999999999432e+01,3.500000000000000000e+00
4.838672952295155483e-01,-6.160000000000000142e+01,3.000000000000000000e+00
4.857300792868954886e-01,-6.629999999999999716e+01,3.799999999999999822e+00
5.052048643117643678e-01,-5.389999999999999858e+01,3.600000000000000089e+00
5.072662943113641631e-01,-5.679999999999999716e+01,3.799999999999999822e+00
5.414230275054308095e-01,-5.079999999999999716e+01,4.000000000000000000e+00
5.482829492697760543e-01,-3.300000000000000000e+01,3.600000000000000089e+00
5.608882937336403529e-01,-3.260000000000000142e+01,3.500000000000000000e+00
5.637567728178769499e-01,-3.080000000000000071e+01,4.000000000000000000e+00
6.022849946415362865e-01,-1.760000000000000142e+01,3.500000000000000000e+00
6.117499392108811662e-01,2.799999999999999822e+00,4.099999999999999645e+00
6.264822098683566765e-01,-4.599999999999999645e+00,4.000000000000000000e+00
6.313732419874895641e-01,1.600000000000000089e+00,3.200000000000000178e+00
6.321545806096082742e-01,8.800000000000000711e+00,3.200000000000000178e+00
6.511018891299897859e-01,8.900000000000000355e+00,3.100000000000000089e+00
6.550442799724578435e-01,1.939999999999999858e+01,4.299999999999999822e+00
6.705112065728466852e-01,2.119999999999999929e+01,3.700000000000000178e+00
6.988052797932198246e-01,3.920000000000000284e+01,3.899999999999999911e+00
7.025353763004318353e-01,3.270000000000000284e+01,3.700000000000000178e+00
7.035898987511473024e-01,4.060000000000000142e+01,3.200000000000000178e+00
7.311169545128510805e-01,4.810000000000000142e+01,3.899999999999999911e+00
7.517010079876627060e-01,6.659999999999999432e+01,3.200000000000000178e+00
7.610046962832583972e-01,6.270000000000000284e+01,4.099999999999999645e+00
7.847588814191794881e-01,7.020000000000000284e+01,3.299999999999999822e+00
8.143745057102051987e-01,7.709999999999999432e+01,3.799999999999999822e+00
8.234492989005843810e-01,7.709999999999999432e+01,3.700000000000000178e+00
8.774505108704033773e-01,8.050000000000000000e+01,3.399999999999999911e+00
8.913930979106226005e-01,8.109999999999999432e+01,4.900000000000000355e+00
9.068863407502476548e-01,8.829999999999999716e+01,3.399999999999999911e+00
9.167879547999291390e-01,8.300000000000000000e+01,3.100000000000000089e+00
9.179996821042095689e-01,8.179999999999999716e+01,3.000000000000000000e+00
9.370255784270540289e-01,7.609999999999999432e+01,4.099999999999999645e+00
9.402392835735327026e-01,8.070000000000000284e+01,3.799999999999999822e+00
9.423954930413174225e-01,9.079999999999999716e+01,4.000000000000000000e+00
9.574323127668549205e-01,6.859999999999999432e+01,3.500000000000000000e+00
9.671887633879237001e-01,7.420000000000000284e+01,3.500000000000000000e+00
