star_x_au,star_z_au,planet_x_au,planet_z_au
-8.848525449781013204e-05,-5.937723514328325348e-05,3.550447900509269283e-01,2.382496168982964069e-01
-8.842034253677992972e-05,-6.001626870399367602e-05,3.547843324898727890e-01,2.408137224962923484e-01
-8.834902221799208503e-05,-6.065095258921469310e-05,3.544981615594266500e-01,2.433603751341347488e-01
-8.827135214590844394e-05,-6.128127748086548577e-05,3.541865124084728755e-01,2.458895374232658859e-01
-8.818738986667349180e-05,-6.190723415031785712e-05,3.538496159394242113e-01,2.484011723340542044e-01
-8.809719189500100868e-05,-6.252881344779415802e-05,3.534876989161051530e-01,2.508952431532542326e-01
-8.800081374022896547e-05,-6.314600629218656094e-05,3.531009840682952650e-01,2.533717134431562323e-01
-8.789830993157356047e-05,-6.375880366127464937e-05,3.526896901930611228e-01,2.558305470023344852e-01
-8.778973404261335048e-05,-6.436719658232023500e-05,3.522540322529980616e-01,2.582717078279095357e-01
-8.767513871503243811e-05,-6.497117612301872840e-05,3.517942214714989690e-01,2.606951600792409840e-01
-8.755457568165041671e-05,-6.557073338278833344e-05,3.513104654251616443e-01,2.631008680429748892e-01
-8.742809578876600178e-05,-6.616585948437830899e-05,3.508029681334414174e-01,2.654887960993729257e-01
-8.729574901783971913e-05,-6.675654556577951962e-05,3.502719301456533318e-01,2.678589086898530147e-01
-8.715758450654039684e-05,-6.734278277242075497e-05,3.497175486254197052e-01,2.702111702856778153e-01
-8.701365056917856789e-05,-6.792456224963532713e-05,3.491400174326592110e-01,2.725455453577267373e-01
-8.686399471654961970e-05,-6.850187513538320090e-05,3.485395272032070224e-01,2.748619983472936901e-01
-8.670866367520840151e-05,-6.907471255321488766e-05,3.479162654261528931e-01,2.771604936378552209e-01
-8.654770340619533390e-05,-6.964306560546348239e-05,3.472704165189804959e-01,2.794409955277537549e-01
-8.638115912323502689e-05,-7.020692536665286356e-05,3.466021619005876797e-01,2.817034682037475868e-01
-8.620907531042524164e-05,-7.076628287710932995e-05,3.459116800622636378e-01,2.839478757153781618e-01
-8.603149573943553530e-05,-7.132112913676584608e-05,3.451991466366979844e-01,2.861741819501099071e-01
-8.584846348623276007e-05,-7.187145509914785073e-05,3.444647344650910714e-01,2.883823506091978683e-01
-8.566002094735031638e-05,-7.241725166553015266e-05,3.437086136624342703e-01,2.905723451842432969e-01
-8.546620985571761300e-05,-7.295850967925546725e-05,3.429309516810248315e-01,2.927441289343961084e-01
-8.526707129606507561e-05,-7.349521992020480925e-05,3.421319133722789951e-01,2.948976648641679632e-01
-8.506264571992031627e-05,-7.402737309941101376e-05,3.413116610469024703e-01,2.970329157018189448e-01
-8.485297296020905694e-05,-7.455495985380673893e-05,3.404703545334774595e-01,2.991498438782837499e-01
-8.463809224547572845e-05,-7.507797074109881887e-05,3.396081512355214604e-01,3.012484115066060286e-01
-8.441804221373633526e-05,-7.559639623476118765e-05,3.387252061870721920e-01,3.033285803618467336e-01
-8.419286092597686735e-05,-7.611022671913881198e-05,3.378216721068494910e-01,3.053903118614395562e-01
-8.396258587930982250e-05,-7.661945248465573449e-05,3.368976994510450851e-01,3.074335670459624748e-01
-8.372725401980037226e-05,-7.712406372312004461e-05,3.359534364647878690e-01,3.094583065602996563e-01
-8.348690175497423317e-05,-7.762405052311925841e-05,3.349890292323311480e-01,3.114644906351654585e-01
-8.324156496601803118e-05,-7.811940286550022553e-05,3.340046217260060901e-01,3.134520790689676040e-01
