phase,model_velocity_ms
0.000000000000000000e+00,-1.661379537441246512e+01
2.506265664160400863e-03,-1.531814611562935013e+01
5.012531328320801727e-03,-1.395282751775169672e+01
7.518796992481202590e-03,-1.254210553487129154e+01
1.002506265664160345e-02,-1.111054563724713873e+01
1.253132832080200432e-02,-9.681456550296065444e+00
1.503759398496240518e-02,-8.275644489124768910e+00
1.754385964912280604e-02,-6.910588384910041349e+00
2.005012531328320691e-02,-5.600053345913976521e+00
2.255639097744360777e-02,-4.354085876755648066e+00
2.506265664160400863e-02,-3.179292788551879578e+00
2.756892230576440950e-02,-2.079295425344704018e+00
3.007518796992481036e-02,-1.055262815245467278e+00
3.258145363408521122e-02,-1.064505730907619463e-01
3.508771929824561209e-02,7.693021994362846394e-01
3.759398496240601295e-02,1.575143661512740767e+00
4.010025062656641381e-02,2.314856762793755518e+00
4.260651629072681468e-02,2.992581891138185846e+00
4.511278195488721554e-02,3.612606905591647433e+00
4.761904761904761640e-02,4.179214165485219290e+00
5.012531328320801727e-02,4.696573703274178335e+00
5.263157894736841813e-02,5.168672467838198337e+00
5.513784461152881899e-02,5.599270927286547739e+00
5.764411027568921986e-02,5.991879852487364211e+00
6.015037593984962072e-02,6.349751571821210305e+00
6.265664160401002158e-02,6.675881281699752812e+00
6.516290726817042245e-02,6.973015077488383895e+00
6.766917293233082331e-02,7.243662237932074532e+00
7.017543859649122417e-02,7.490109975315229818e+00
7.268170426065162504e-02,7.714439383148853580e+00
7.518796992481202590e-02,7.918541703476449811e+00
7.769423558897242676e-02,8.104134324396701672e+00
8.020050125313282763e-02,8.272776128447278055e+00
8.270676691729322849e-02,8.425881963079099535e+00
8.521303258145362935e-02,8.564736110605084107e+00
8.771929824561403022e-02,8.690504708370927034e+00
9.022556390977443108e-02,8.804247119335306238e+00
9.273182957393483195e-02,8.906926285431596924e+00
9.523809523809523281e-02,8.999418115972540377e+00
9.774436090225563367e-02,9.082519974607832225e+00
1.002506265664160345e-01,9.156958333621147972e+00
1.027568922305764354e-01,9.223395665590116366e+00
1.052631578947368363e-01,9.282436641016255763e+00
1.077694235588972371e-01,9.334633697447342726e+00
1.102756892230576380e-01,9.380492041552859206e+00
1.127819548872180389e-01,9.420474141053173156e+00
1.152882205513784397e-01,9.455003758669290548e+00
1.177944862155388406e-01,9.484469575567631594e+00
1.203007518796992414e-01,9.509228447260390737e+00
1.228070175438596423e-01,9.529608330668713378e+00
1.253132832080200432e-01,9.545910917107613969e+00
1.278195488721804440e-01,9.558414002326612646e+00
1.303258145363408449e-01,9.567373621439745790e+00
1.328320802005012458e-01,9.573025973592887539e+00
1.353383458646616466e-01,9.575589158528583056e+00
1.378446115288220475e-01,9.575264744798197114e+00
