generation,stage,stage_code,chi2,rms_ms,K_ms,P_days,e,rel_err_K,rel_err_P
1,de,0,9.6956491530e+03,2.2584850131e+01,1.9768288208e+01,7.1493685075e+01,8.0395753404e-01,3.5197722507e-01,5.1529705034e-01
2,de,0,4.7293093654e+03,1.5773483986e+01,3.0948976882e+01,1.6093212617e+02,3.0304496416e-01,1.4536092828e-02,9.1065262137e-02
3,de,0,4.7293093654e+03,1.5773483986e+01,3.0948976882e+01,1.6093212617e+02,3.0304496416e-01,1.4536092828e-02,9.1065262137e-02
4,de,0,1.5998933634e+03,9.1743284786e+00,2.1302248462e+01,1.4197824697e+02,8.2806113145e-02,3.0169258888e-01,3.7435613748e-02
5,de,0,1.5998933634e+03,9.1743284786e+00,2.1302248462e+01,1.4197824697e+02,8.2806113145e-02,3.0169258888e-01,3.7435613748e-02
6,de,0,1.5998933634e+03,9.1743284786e+00,2.1302248462e+01,1.4197824697e+02,8.2806113145e-02,3.0169258888e-01,3.7435613748e-02
7,de,0,1.5998933634e+03,9.1743284786e+00,2.1302248462e+01,1.4197824697e+02,8.2806113145e-02,3.0169258888e-01,3.7435613748e-02
8,de,0,1.3741364703e+03,8.5024424344e+00,3.4825222600e+01,1.4551225601e+02,8.5414375119e-02,1.4160301333e-01,1.3476230439e-02
9,de,0,1.3741364703e+03,8.5024424344e+00,3.4825222600e+01,1.4551225601e+02,8.5414375119e-02,1.4160301333e-01,1.3476230439e-02
10,de,0,1.3741364703e+03,8.5024424344e+00,3.4825222600e+01,1.4551225601e+02,8.5414375119e-02,1.4160301333e-01,1.3476230439e-02
11,de,0,1.3741364703e+03,8.5024424344e+00,3.4825222600e+01,1.4551225601e+02,8.5414375119e-02,1.4160301333e-01,1.3476230439e-02
12,de,0,1.3741364703e+03,8.5024424344e+00,3.4825222600e+01,1.4551225601e+02,8.5414375119e-02,1.4160301333e-01,1.3476230439e-02
13,de,0,1.3741364703e+03,8.5024424344e+00,3.4825222600e+01,1.4551225601e+02,8.5414375119e-02,1.4160301333e-01,1.3476230439e-02
14,de,0,1.3741364703e+03,8.5024424344e+00,3.4825222600e+01,1.4551225601e+02,8.5414375119e-02,1.4160301333e-01,1.3476230439e-02
15,de,0,1.3741364703e+03,8.5024424344e+00,3.4825222600e+01,1.4551225601e+02,8.5414375119e-02,1.4160301333e-01,1.3476230439e-02
16,de,0,1.3741364703e+03,8.5024424344e+00,3.4825222600e+01,1.4551225601e+02,8.5414375119e-02,1.4160301333e-01,1.3476230439e-02
17,de,0,1.3741364703e+03,8.5024424344e+00,3.4825222600e+01,1.4551225601e+02,8.5414375119e-02,1.4160301333e-01,1.3476230439e-02
18,de,0,1.3741364703e+03,8.5024424344e+00,3.4825222600e+01,1.4551225601e+02,8.5414375119e-02,1.4160301333e-01,1.3476230439e-02
19,de,0,1.3741364703e+03,8.5024424344e+00,3.4825222600e+01,1.4551225601e+02,8.5414375119e-02,1.4160301333e-01,1.3476230439e-02
20,de,0,1.3741364703e+03,8.5024424344e+00,3.4825222600e+01,1.4551225601e+02,8.5414375119e-02,1.4160301333e-01,1.3476230439e-02
21,de,0,1.3741364703e+03,8.5024424344e+00,3.4825222600e+01,1.4551225601e+02,8.5414375119e-02,1.4160301333e-01,1.3476230439e-02
22,de,0,1.3741364703e+03,8.5024424344e+00,3.4825222600e+01,1.4551225601e+02,8.5414375119e-02,1.4160301333e-01,1.3476230439e-02
23,de,0,1.3741364703e+03,8.5024424344e+00,3.4825222600e+01,1.4551225601e+02,8.5414375119e-02,1.4160301333e-01,1.3476230439e-02
24,de,0,1.3741364703e+03,8.5024424344e+00,3.4825222600e+01,1.4551225601e+02,8.5414375119e-02,1.4160301333e-01,1.3476230439e-02
25,de,0,1.1881002333e+03,7.9059726523e+00,3.0558785493e+01,1.4929015052e+02,1.6070260529e-01,1.7452581218e-03,1.2136613721e-02
26,de,0,1.1881002333e+03,7.9059726523e+00,3.0558785493e+01,1.4929015052e+02,1.6070260529e-01,1.7452581218e-03,1.2136613721e-02
27,de,0,1.1881002333e+03,7.9059726523e+00,3.0558785493e+01,1.4929015052e+02,1.6070260529e-01,1.7452581218e-03,1.2136613721e-02
28,de,0,5.8549325734e+02,5.5499582505e+00,2.4318668893e+01,1.4345518889e+02,1.8002911845e-01,2.0281153671e-01,2.7422448208e-02
29,de,0,5.8549325734e+02,5.5499582505e+00,2.4318668893e+01,1.4345518889e+02,1.8002911845e-01,2.0281153671e-01,2.7422448208e-02
30,de,0,5.8549325734e+02,5.5499582505e+00,2.4318668893e+01,1.4345518889e+02,1.8002911845e-01,2.0281153671e-01,2.7422448208e-02
31,de,0,5.8549325734e+02,5.5499582505e+00,2.4318668893e+01,1.4345518889e+02,1.8002911845e-01,2.0281153671e-01,2.7422448208e-02
32,de,0,5.8549325734e+02,5.5499582505e+00,2.4318668893e+01,1.4345518889e+02,1.8002911845e-01,2.0281153671e-01,2.7422448208e-02
33,de,0,5.8549325734e+02,5.5499582505e+00,2.4318668893e+01,1.4345518889e+02,1.8002911845e-01,2.0281153671e-01,2.7422448208e-02
34,de,0,5.8549325734e+02,5.5499582505e+00,2.4318668893e+01,1.4345518889e+02,1.8002911845e-01,2.0281153671e-01,2.7422448208e-02
35,de,0,5.2238951288e+02,5.2423497494e+00,3.5041746746e+01,1.4404633194e+02,2.2758990663e-01,1.4870087513e-01,2.3414698721e-02
36,de,0,5.2238951288e+02,5.2423497494e+00,3.5041746746e+01,1.4404633194e+02,2.2758990663e-01,1.4870087513e-01,2.3414698721e-02
37,de,0,4.0247757434e+02,4.6015019521e+00,3.2247491566e+01,1.4433434677e+02,3.3181274390e-01,5.7102605393e-02,2.1462055827e-02
38,de,0,4.0247757434e+02,4.6015019521e+00,3.2247491566e+01,1.4433434677e+02,3.3181274390e-01,5.7102605393e-02,2.1462055827e-02
39,de,0,4.0247757434e+02,4.6015019521e+00,3.2247491566e+01,1.4433434677e+02,3.3181274390e-01,5.7102605393e-02,2.1462055827e-02
40,de,0,4.0247757434e+02,4.6015019521e+00,3.2247491566e+01,1.4433434677e+02,3.3181274390e-01,5.7102605393e-02,2.1462055827e-02
41,de,0,4.0247757434e+02,4.6015019521e+00,3.2247491566e+01,1.4433434677e+02,3.3181274390e-01,5.7102605393e-02,2.1462055827e-02
42,de,0,4.0247757434e+02,4.6015019521e+00,3.2247491566e+01,1.4433434677e+02,3.3181274390e-01,5.7102605393e-02,2.1462055827e-02
43,de,0,3.0712108443e+02,4.0196069036e+00,3.1527191339e+01,1.4759224098e+02,1.6296070197e-01,3.3490497617e-02,6.2536258623e-04
44,de,0,3.0712108443e+02,4.0196069036e+00,3.1527191339e+01,1.4759224098e+02,1.6296070197e-01,3.3490497617e-02,6.2536258623e-04
45,de,0,3.0712108443e+02,4.0196069036e+00,3.1527191339e+01,1.4759224098e+02,1.6296070197e-01,3.3490497617e-02,6.2536258623e-04
