star_x_au,star_z_au,planet_x_au,planet_z_au
-3.539134760047486089e-04,1.659784280989759351e-05,4.786884648706595247e-01,-2.244954327403964056e-02
-3.529179512363349899e-04,9.146811623890044172e-06,4.773419599889797693e-01,-1.237159224375587903e-02
-3.517824164699575608e-04,1.692156743641221276e-06,4.758060834796680183e-01,-2.288739957229782122e-03
-3.505058294857875986e-04,-5.763171570445915559e-06,4.740794256800708317e-01,7.795023187548712554e-03
-3.490872138671012072e-04,-1.321615950668570711e-05,4.721606659300425779e-01,1.787562083580073596e-02
-3.475256625180457451e-04,-2.066373091425448359e-05,4.700485773299294401e-01,2.794889231545437044e-02
-3.458203412085457851e-04,-2.810274870778792960e-05,4.677420315352594504e-01,3.801059453694385221e-02
-3.439704921360515577e-04,-3.553001647134493854e-05,4.652400035742139672e-01,4.805640416266362264e-02
-3.419754374930193555e-04,-4.294228026816975945e-05,4.625415766728506739e-01,5.808192005477626207e-02
-3.398345830282042870e-04,-5.033623066211909174e-05,4.596459470719588825e-01,6.808266600930985846e-02
-3.375474215890604817e-04,-5.770850495597123944e-05,4.565524288183605006e-01,7.805409378360055050e-02
-3.351135366317748799e-04,-6.505568965109653149e-05,4.532604585124339058e-01,8.799158642313920087e-02
-3.325326056847302558e-04,-7.237432313214259348e-05,4.497695999926486499e-01,9.789046189276369436e-02
-3.298044037505036812e-04,-7.966089857947353118e-05,4.460795489369648315e-01,1.077459770159015506e-01
-3.269288066308718901e-04,-8.691186711109995862e-05,4.421901373600951035e-01,1.175533317242120901e-01
-3.239057941587207014e-04,-9.412364115474745104e-05,4.381013379848505140e-01,1.273076736185042579e-01
-3.207354533202611555e-04,-1.012925980495403561e-04,4.338132684651168636e-01,1.370041028402225747e-01
-3.174179812505376519e-04,-1.084150838755272084e-04,4.293261954374542611e-01,1.466376772511018278e-01
-3.139536880849002633e-04,-1.154874175079505894e-04,4.246405383778778519e-01,1.562034179168019232e-01
-3.103429996488985074e-04,-1.225058948917752866e-04,4.197568732400950298e-01,1.656963148884544323e-01
-3.065864599689594816e-04,-1.294667935305414440e-04,4.146759358513429916e-01,1.751113332740966699e-01
-3.026847335862438925e-04,-1.363663771821151192e-04,4.093986250420127981e-01,1.844434195899457563e-01
