time_days,model_velocity_ms,truth_velocity_ms
1.187353518380425133e+00,3.973513934158627592e+01,3.787072743869619273e+01
1.388928809346875681e+00,3.974991385434107372e+01,3.785711208696532992e+01
1.590504100313326230e+00,3.976060695331308636e+01,3.783974676812881910e+01
1.792079391279777001e+00,3.976716850556691440e+01,3.781859813898297062e+01
1.993654682246227550e+00,3.976954878237994251e+01,3.779363337141157331e+01
2.195229973212677876e+00,3.976769850116279770e+01,3.776482018103099847e+01
2.396805264179128869e+00,3.976156886834978366e+01,3.773212685621322038e+01
2.598380555145579418e+00,3.975111162323656799e+01,3.769552228746537992e+01
2.799955846112029967e+00,3.973627908274023923e+01,3.765497599714392862e+01
3.001531137078480516e+00,3.971702418705335447e+01,3.761045816947912357e+01
3.203106428044931064e+00,3.969330054616122538e+01,3.756193968088498281e+01
3.404681719011381613e+00,3.966506248718788186e+01,3.750939213052800625e+01
3.606257009977832606e+00,3.963226510253363699e+01,3.745278787112655294e+01
3.807832300944283155e+00,3.959486429876355373e+01,3.739210003995165010e+01
4.009407591910733260e+00,3.955281684620302940e+01,3.732730258999825423e+01
4.210982882877184252e+00,3.950608042919341756e+01,3.725837032129477677e+01
4.412558173843635245e+00,3.945461369695691189e+01,3.718527891231733662e+01
4.614133464810085350e+00,3.939837631501744397e+01,3.710800495147366007e+01
4.815708755776535455e+00,3.933732901711960039e+01,3.702652596862032652e+01
5.017284046742986447e+00,3.927143365758540483e+01,3.694082046657578644e+01
5.218859337709437440e+00,3.920065326404487394e+01,3.685086795259007175e+01
5.420434628675888433e+00,3.912495209047251876e+01,3.675664896973107432e+01
5.622009919642337650e+00,3.904429567045950478e+01,3.665814512814598203e+01
5.823585210608788643e+00,3.895865087064716192e+01,3.655533913615517605e+01
6.025160501575239635e+00,3.886798594424442399e+01,3.644821483113500449e+01
6.226735792541690628e+00,3.877227058454852227e+01,3.633675721014447646e+01
6.428311083508141621e+00,3.867147597838608419e+01,3.622095246025023130e+01
6.629886374474590838e+00,3.856557485938670027e+01,3.610078798850295811e+01
6.831461665441041831e+00,3.845454156100051080e+01,3.597625245151765228e+01
7.033036956407492823e+00,3.833835206916722882e+01,3.584733578460939185e+01
7.234612247373943816e+00,3.821698407454132962e+01,3.571402923043543609e+01
7.436187538340393033e+00,3.809041702417658826e+01,3.557632536709395765e+01
7.637762829306844026e+00,3.795863217256992073e+01,3.543421813562919453e+01
7.839338120273295019e+00,3.782161263196334744e+01,3.528770286689221791e+01
8.040913411239746011e+00,3.767934342179972873e+01,3.513677630770651206e+01
8.242488702206197004e+00,3.753181151722793629e+01,3.498143664628688043e+01
8.444063993172646221e+00,3.737900589655041017e+01,3.482168353686061835e+01
8.645639284139097214e+00,3.722091758750542567e+01,3.465751812343935967e+01
8.847214575105548207e+00,3.705753971227547083e+01,3.448894306269060905e+01
9.048789866071999199e+00,3.688886753111329142e+01,3.431596254585795691e+01
9.250365157038448416e+00,3.671489848447430404e+01,3.413858231967938650e+01
9.451940448004899409e+00,3.653563223354871070e+01,3.395680970625367934e+01
9.653515738971350402e+00,3.635107069908222854e+01,3.377065362180552199e+01
9.855091029937801395e+00,3.616121809837756729e+01,3.358012459430070606e+01
1.005666632090425061e+01,3.596608098037027190e+01,3.338523477986375099e+01
1.025824161187070160e+01,3.576566825867249122e+01,3.318599797795131678e+01
1.045981690283715260e+01,3.555999124248045007e+01,3.298242964523596044e+01
1.066139219380360359e+01,3.534906366524425181e+01,3.277454690815629590e+01
1.086296748477005458e+01,3.513290171100039316e+01,3.256236857409076890e+01
1.106454277573650380e+01,3.491152403827091177e+01,3.234591514111427557e+01
1.126611806670295479e+01,3.468495180143527534e+01,3.212520880629830344e+01
1.146769335766940578e+01,3.445320866948658534e+01,3.190027347251736600e+01
1.166926864863585678e+01,3.421632084208522429e+01,3.167113475372649489e+01
1.187084393960230599e+01,3.397431706283077091e+01,3.143781997867658973e+01
1.207241923056875699e+01,3.372722862967383861e+01,3.120035819303698688e+01
1.227399452153520798e+01,3.347508940239843866e+01,3.095878015989683263e+01
1.247556981250165897e+01,3.321793580710793492e+01,3.071311835861939699e+01
1.267714510346810997e+01,3.295580683765524554e+01,3.046340698202624964e+01
1.287872039443455918e+01,3.268874405396398686e+01,3.020968193189089845e+01
1.308029568540101018e+01,3.241679157719208604e+01,2.995198081272436852e+01
1.328187097636746117e+01,3.213999608169805100e+01,2.969034292383818041e+01
1.348344626733391216e+01,3.185840678377675061e+01,2.942480924967330225e+01
1.368502155830036138e+01,3.157207542713628712e+01,2.915542244838667330e+01
1.388659684926681237e+01,3.128105626509920612e+01,2.888222683869024010e+01
1.408817214023326336e+01,3.098540603951602179e+01,2.860526838494061508e+01
1.428974743119971436e+01,3.068518395638633223e+01,2.832459468048087814e+01
1.449132272216616535e+01,3.038045165819306348e+01,2.804025492923937435e+01
1.469289801313261457e+01,3.007127319296282764e+01,2.775229992559377834e+01
1.489447330409906556e+01,2.975771498007055627e+01,2.746078203251217431e+01
1.509604859506551655e+01,2.943984577281998227e+01,2.716575515798626839e+01
1.529762388603196754e+01,2.911773661783506384e+01,2.686727472977539222e+01
1.549919917699841676e+01,2.879146081130753387e+01,2.656539766848337436e+01
1.570077446796486775e+01,2.846109385215441634e+01,2.626018235899366715e+01
1.590234975893131875e+01,2.812671339214707089e+01,2.595168862029181156e+01
1.610392504989777152e+01,2.778839918307899026e+01,2.563997767370730330e+01
1.630550034086422073e+01,2.744623302105133078e+01,2.532511210961048675e+01
1.650707563183066995e+01,2.710029868795958663e+01,2.500715585260327600e+01
1.670865092279712272e+01,2.675068189027410170e+01,2.468617412524563903e+01
1.691022621376357193e+01,2.639747019521194815e+01,2.436223341036286527e+01
1.711180150473002470e+01,2.604075296440752396e+01,2.403540141198165614e+01
1.731337679569647392e+01,2.568062128519290255e+01,2.370574701494595615e+01
1.751495208666292669e+01,2.531716789960787040e+01,2.337334024326605331e+01
1.771652737762937591e+01,2.495048713126286444e+01,2.303825221725748662e+01
1.791810266859582512e+01,2.458067481018460398e+01,2.270055510952828826e+01
